frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,186,634,22,13,0,10
0,194,663,23,14,0,10
0,180,698,24,9,0,10
0,158,610,21,23,1,10
0,165,639,22,37,1,10
0,173,668,23,38,1,10
0,180,698,24,25,1,10
0,158,610,21,8,2,10
0,165,639,22,13,2,10
0,173,668,23,14,2,10
0,180,698,24,9,2,10
1,186,634,22,13,0,10
1,194,663,23,14,0,10
1,180,698,24,9,0,10
1,158,610,21,23,1,10
1,165,639,22,37,1,10
1,173,668,23,38,1,10
1,180,698,24,25,1,10
1,158,610,21,8,2,10
1,165,639,22,13,2,10
1,173,668,23,14,2,10
1,180,698,24,9,2,10
2,71,566,19,19,65535,10
2,75,596,20,22,65535,10
3,36,569,19,30,65535,10
3,38,599,20,30,65535,10
4,17,540,18,37,0,10
4,18,570,19,46,0,10
4,19,600,20,34,0,10
4,65359,605,21,31,0,10
4,65350,634,22,47,0,10
4,65342,663,23,48,0,10
4,65333,691,24,31,0,10
4,0,540,18,12,1,10
4,0,570,19,15,1,10
4,0,600,20,11,1,10
4,17,540,18,32,65534,10
4,36,569,19,39,65534,10
4,38,599,20,29,65534,10
4,65378,610,21,31,65534,10
4,65371,639,22,47,65534,10
4,65363,668,23,48,65534,10
4,0,540,18,78,65535,10
4,0,570,19,97,65535,10
4,19,600,20,71,65535,10
4,65359,605,21,58,65535,10
4,65350,634,22,87,65535,10
4,65342,663,23,89,65535,10
4,65333,691,24,59,65535,10
5,17,540,18,37,0,10
5,18,570,19,46,0,10
5,19,600,20,34,0,10
5,65359,605,21,31,0,10
5,65350,634,22,47,0,10
5,65342,663,23,48,0,10
5,65333,691,24,31,0,10
5,0,540,18,12,1,10
5,0,570,19,15,1,10
5,0,600,20,11,1,10
5,17,540,18,32,65534,10
5,36,569,19,39,65534,10
5,38,599,20,29,65534,10
5,65378,610,21,31,65534,10
5,65371,639,22,47,65534,10
5,65363,668,23,48,65534,10
5,0,540,18,78,65535,10
5,0,570,19,97,65535,10
5,19,600,20,71,65535,10
5,65359,605,21,58,65535,10
5,65350,634,22,87,65535,10
5,65342,663,23,89,65535,10
5,65333,691,24,59,65535,10
6,17,540,18,37,0,10
6,18,570,19,46,0,10
6,19,600,20,34,0,10
6,65359,605,21,31,0,10
6,65350,634,22,47,0,10
6,65342,663,23,48,0,10
6,65333,691,24,31,0,10
6,0,540,18,12,1,10
6,0,570,19,15,1,10
6,0,600,20,11,1,10
6,17,540,18,32,65534,10
6,36,569,19,39,65534,10
6,38,599,20,29,65534,10
6,65378,610,21,31,65534,10
6,65371,639,22,47,65534,10
6,65363,668,23,48,65534,10
6,0,540,18,78,65535,10
6,0,570,19,97,65535,10
6,19,600,20,71,65535,10
6,65359,605,21,58,65535,10
6,65350,634,22,87,65535,10
6,65342,663,23,89,65535,10
6,65333,691,24,59,65535,10
7,65506,479,16,27,0,10
7,65504,509,17,71,0,10
7,65502,539,18,102,0,10
7,65500,569,19,86,0,10
7,65498,599,20,42,0,10
7,925,14770,493,5,1,10
7,927,14800,494,7,1,10
7,929,14830,495,5,1,10
7,65322,529,19,20,65533,10
7,65311,557,20,38,65533,10
7,65300,584,21,43,65533,10
7,65288,612,22,30,65533,10
7,65504,509,17,67,65534,10
7,65502,539,18,96,65534,10
7,65518,570,19,84,65534,10
7,65311,557,20,80,65534,10
7,65300,584,21,82,65534,10
7,65288,612,22,55,65534,10
7,65506,479,16,50,65535,10
7,65488,508,17,132,65535,10
7,65485,538,18,189,65535,10
7,65483,568,19,162,65535,10
7,65498,599,20,85,65535,10
7,65300,584,21,52,65535,10
8,65506,479,16,27,0,10
8,65504,509,17,71,0,10
8,65502,539,18,102,0,10
8,65500,569,19,86,0,10
8,65498,599,20,42,0,10
8,925,14770,493,5,1,10
8,927,14800,494,7,1,10
8,929,14830,495,5,1,10
8,65322,529,19,20,65533,10
8,65311,557,20,38,65533,10
8,65300,584,21,43,65533,10
8,65288,612,22,30,65533,10
8,65504,509,17,67,65534,10
8,65502,539,18,96,65534,10
8,65518,570,19,84,65534,10
8,65311,557,20,80,65534,10
8,65300,584,21,82,65534,10
8,65288,612,22,55,65534,10
8,65506,479,16,50,65535,10
8,65488,508,17,132,65535,10
8,65485,538,18,189,65535,10
8,65483,568,19,162,65535,10
8,65498,599,20,85,65535,10
8,65300,584,21,52,65535,10
9,65491,478,16,55,0,10
9,65488,508,17,82,0,10
9,65485,538,18,72,0,10
9,65483,568,19,37,0,10
9,1390,14764,494,4,1,10
9,1393,14794,495,6,1,10
9,65269,504,19,17,65533,10
9,65506,479,16,55,65534,10
9,65488,508,17,82,65534,10
9,65485,538,18,72,65534,10
9,65483,568,19,37,65534,10
9,65494,448,15,36,65535,10
9,65476,477,16,102,65535,10
9,65472,506,17,152,65535,10
9,65468,536,18,134,65535,10
9,65465,566,19,70,65535,10
10,65480,447,15,31,0,10
10,65476,477,16,58,0,10
10,65456,504,17,60,0,10
10,65452,534,18,38,0,10
10,65367,417,15,25,65534,10
10,65416,465,16,51,65534,10
10,65424,498,17,59,65534,10
10,65418,527,18,37,65534,10
10,65480,447,15,57,65535,10
10,65461,474,16,108,65535,10
10,65440,501,17,115,65535,10
10,65435,531,18,73,65535,10
10,65447,563,19,27,65535,10
11,65480,447,15,31,0,10
11,65476,477,16,58,0,10
11,65456,504,17,60,0,10
11,65452,534,18,38,0,10
11,65367,417,15,25,65534,10
11,65416,465,16,51,65534,10
11,65424,498,17,59,65534,10
11,65418,527,18,37,65534,10
11,65480,447,15,57,65535,10
11,65461,474,16,108,65535,10
11,65440,501,17,115,65535,10
11,65435,531,18,73,65535,10
11,65447,563,19,27,65535,10
12,14,450,15,42,0,10
12,15,480,16,70,0,10
12,16,510,17,69,0,10
12,17,540,18,42,0,10
12,14,450,15,81,1,10
12,0,480,16,136,1,10
12,0,510,17,135,1,10
12,0,540,18,82,1,10
12,0,450,15,39,2,10
12,0,480,16,64,2,10
12,0,510,17,63,2,10
12,0,540,18,38,2,10
12,0,480,16,10,65535,10
12,0,510,17,10,65535,10
12,65072,14852,495,4,65535,10
12,65071,14882,496,4,65535,10
13,90,472,16,36,0,10
13,96,501,17,58,0,10
13,101,531,18,55,0,10
13,107,560,19,32,0,10
13,90,472,16,70,1,10
13,96,501,17,112,1,10
13,84,534,18,109,1,10
13,89,563,19,67,1,10
13,60,477,16,37,2,10
13,64,506,17,62,2,10
13,51,538,18,64,2,10
13,53,568,19,45,2,10
13,38,599,20,22,2,10
13,32,509,17,12,3,10
13,34,539,18,13,3,10
13,36,569,19,9,3,10
13,1058,8399,282,16,3,10
13,1062,8429,283,20,3,10
13,1066,8458,284,15,3,10
13,80,504,17,10,65535,10
13,68,536,18,10,65535,10
14,90,472,16,36,0,10
14,96,501,17,58,0,10
14,101,531,18,55,0,10
14,107,560,19,32,0,10
14,90,472,16,70,1,10
14,96,501,17,112,1,10
14,84,534,18,109,1,10
14,89,563,19,67,1,10
14,60,477,16,37,2,10
14,64,506,17,62,2,10
14,51,538,18,64,2,10
14,53,568,19,45,2,10
14,38,599,20,22,2,10
14,32,509,17,12,3,10
14,34,539,18,13,3,10
14,36,569,19,9,3,10
14,1058,8399,282,16,3,10
14,1062,8429,283,20,3,10
14,1066,8458,284,15,3,10
14,80,504,17,10,65535,10
14,68,536,18,10,65535,10
15,135,523,18,10,0,10
15,144,490,17,18,1,10
15,135,523,18,23,1,10
15,125,557,19,19,1,10
16,135,523,18,10,0,10
16,144,490,17,18,1,10
16,135,523,18,23,1,10
16,125,557,19,19,1,10
17,155,423,15,24,0,10
17,165,451,16,60,0,10
17,175,479,17,85,0,10
17,186,507,18,72,0,10
