frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,65363,668,23,15,3,10
1,65363,668,23,15,3,10
2,None, None, None, None, None
3,None, None, None, None, None
4,None, None, None, None, None
5,65378,610,21,16,65533,10
5,65350,634,22,19,65533,10
5,65342,663,23,13,65533,10
5,65378,610,21,22,65534,10
5,65371,639,22,25,65534,10
6,65377,485,17,16,65530,10
6,65350,507,18,32,65530,10
6,65340,536,19,41,65530,10
6,65330,564,20,32,65530,10
6,65408,494,17,25,65531,10
6,65367,513,18,31,65531,10
6,65340,536,19,32,65531,10
6,65311,557,20,22,65531,10
6,65446,472,16,14,65532,10
6,65440,501,17,19,65532,10
6,65418,527,18,16,65532,10
7,65377,485,17,16,65530,10
7,65350,507,18,32,65530,10
7,65340,536,19,41,65530,10
7,65330,564,20,32,65530,10
7,65408,494,17,25,65531,10
7,65367,513,18,31,65531,10
7,65340,536,19,32,65531,10
7,65311,557,20,22,65531,10
7,65446,472,16,14,65532,10
7,65440,501,17,19,65532,10
7,65418,527,18,16,65532,10
8,65412,306,11,29,7,10
8,65401,334,12,33,7,10
8,65402,366,13,27,7,10
8,65505,329,11,47,65529,10
8,65491,357,12,51,65529,10
8,65475,385,13,34,65529,10
8,10,330,11,21,7,10
8,11,360,12,26,7,10
8,12,390,13,21,7,10
9,65412,306,11,29,7,10
9,65401,334,12,33,7,10
9,65402,366,13,27,7,10
9,65505,329,11,47,65529,10
9,65491,357,12,51,65529,10
9,65475,385,13,34,65529,10
9,10,330,11,21,7,10
9,11,360,12,26,7,10
9,12,390,13,21,7,10
10,65412,306,11,29,7,10
10,65401,334,12,33,7,10
10,65402,366,13,27,7,10
10,65505,329,11,47,65529,10
10,65491,357,12,51,65529,10
10,65475,385,13,34,65529,10
10,10,330,11,21,7,10
10,11,360,12,26,7,10
10,12,390,13,21,7,10
11,124,131,6,12,0,10
11,151,146,7,16,0,10
11,173,167,8,12,0,10
11,124,131,6,25,65535,10
11,144,153,7,32,65535,10
11,173,167,8,26,65535,10
12,None, None, None, None, None
13,None, None, None, None, None
14,146,329,12,19,2,10
14,135,334,12,26,3,10
15,146,329,12,19,2,10
15,135,334,12,26,3,10
16,131,399,14,32,3,10
16,141,428,15,61,3,10
16,150,456,16,68,3,10
16,159,485,17,45,3,10
16,169,513,18,16,3,10
16,131,399,14,70,4,10
16,141,428,15,138,4,10
16,150,456,16,157,4,10
16,159,485,17,107,4,10
16,169,513,18,41,4,10
16,118,403,14,58,5,10
16,127,432,15,113,5,10
16,135,461,16,128,5,10
16,144,490,17,87,5,10
16,169,513,18,33,5,10
16,92,410,14,19,6,10
16,113,436,15,35,6,10
16,135,461,16,39,6,10
16,159,485,17,26,6,10
17,169,513,18,27,1,10
17,178,542,19,23,1,10
17,169,513,18,43,2,10
17,178,542,19,38,2,10
17,150,581,20,32,4,10
17,158,610,21,40,4,10
17,165,639,22,30,4,10
17,125,557,19,29,5,10
17,131,586,20,63,5,10
17,138,615,21,78,5,10
17,144,644,22,60,5,10
17,129,678,23,33,5,10
17,107,560,19,25,6,10
17,113,590,20,54,6,10
17,118,619,21,72,6,10
17,124,649,22,69,6,10
17,129,678,23,55,6,10
17,158,703,24,34,6,10
17,94,593,20,16,7,10
17,118,619,21,27,7,10
17,124,649,22,34,7,10
17,151,674,23,33,7,10
17,158,703,24,22,7,10
18,169,513,18,27,1,10
18,178,542,19,23,1,10
18,169,513,18,43,2,10
18,178,542,19,38,2,10
18,150,581,20,32,4,10
18,158,610,21,40,4,10
18,165,639,22,30,4,10
18,125,557,19,29,5,10
18,131,586,20,63,5,10
18,138,615,21,78,5,10
18,144,644,22,60,5,10
18,129,678,23,33,5,10
18,107,560,19,25,6,10
18,113,590,20,54,6,10
18,118,619,21,72,6,10
18,124,649,22,69,6,10
18,129,678,23,55,6,10
18,158,703,24,34,6,10
18,94,593,20,16,7,10
18,118,619,21,27,7,10
18,124,649,22,34,7,10
18,151,674,23,33,7,10
18,158,703,24,22,7,10
19,169,513,18,27,1,10
19,178,542,19,23,1,10
19,169,513,18,43,2,10
19,178,542,19,38,2,10
19,150,581,20,32,4,10
19,158,610,21,40,4,10
19,165,639,22,30,4,10
19,125,557,19,29,5,10
19,131,586,20,63,5,10
19,138,615,21,78,5,10
19,144,644,22,60,5,10
19,129,678,23,33,5,10
19,107,560,19,25,6,10
19,113,590,20,54,6,10
19,118,619,21,72,6,10
19,124,649,22,69,6,10
19,129,678,23,55,6,10
19,158,703,24,34,6,10
19,94,593,20,16,7,10
19,118,619,21,27,7,10
19,124,649,22,34,7,10
19,151,674,23,33,7,10
19,158,703,24,22,7,10
20,113,712,24,39,1,10
20,108,682,23,60,2,10
20,113,712,24,87,2,10
20,117,741,25,73,2,10
20,122,771,26,35,2,10
20,108,682,23,38,3,10
20,113,712,24,55,3,10
20,117,741,25,47,3,10
20,122,771,26,24,3,10
21,113,712,24,39,1,10
21,108,682,23,60,2,10
21,113,712,24,87,2,10
21,117,741,25,73,2,10
21,122,771,26,35,2,10
21,108,682,23,38,3,10
21,113,712,24,55,3,10
21,117,741,25,47,3,10
21,122,771,26,24,3,10
22,None, None, None, None, None
23,None, None, None, None, None
24,None, None, None, None, None
25,124,649,22,19,65532,10
25,108,682,23,22,65532,10
26,45,478,16,20,65531,10
26,48,508,17,32,65531,10
26,34,539,18,31,65531,10
26,70,445,15,30,65533,10
26,75,474,16,31,65533,10
26,79,413,14,20,65534,10
26,84,442,15,36,65534,10
26,90,472,16,37,65534,10
26,96,501,17,22,65534,10
27,45,478,16,20,65531,10
27,48,508,17,32,65531,10
27,34,539,18,31,65531,10
27,70,445,15,30,65533,10
27,75,474,16,31,65533,10
27,79,413,14,20,65534,10
27,84,442,15,36,65534,10
27,90,472,16,37,65534,10
27,96,501,17,22,65534,10
28,65513,360,12,25,65531,10
28,65512,389,13,22,65531,10
28,65502,359,12,29,65532,10
28,65499,389,13,27,65532,10
28,65483,417,14,15,65532,10
28,65524,390,13,18,65533,10
28,65339,371,14,12,65532,10
29,65416,208,8,14,0,10
29,65409,239,9,19,0,10
29,65405,270,10,29,0,10
29,65392,297,11,33,0,10
29,65378,324,12,21,0,10
29,65414,274,10,28,65534,10
29,65402,302,11,30,65534,10
29,65390,329,12,17,65534,10
29,65401,234,9,38,65535,10
29,65395,265,10,58,65535,10
29,65381,292,11,64,65535,10
29,65367,318,12,41,65535,10
30,65416,208,8,14,0,10
30,65409,239,9,19,0,10
30,65405,270,10,29,0,10
30,65392,297,11,33,0,10
30,65378,324,12,21,0,10
30,65414,274,10,28,65534,10
30,65402,302,11,30,65534,10
30,65390,329,12,17,65534,10
30,65401,234,9,38,65535,10
30,65395,265,10,58,65535,10
30,65381,292,11,64,65535,10
30,65367,318,12,41,65535,10
