frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,65318,843,29,13,0,10
0,65311,872,30,12,0,10
0,65318,843,29,25,1,10
0,65283,864,30,24,1,10
0,65291,835,29,10,2,10
0,65283,864,30,10,2,10
1,65247,789,28,7,0,10
1,65210,807,29,11,0,10
1,65198,835,30,10,0,10
1,65247,789,28,20,1,10
1,65210,807,29,27,1,10
1,65198,835,30,23,1,10
2,65247,789,28,7,0,10
2,65210,807,29,11,0,10
2,65198,835,30,10,0,10
2,65247,789,28,20,1,10
2,65210,807,29,27,1,10
2,65198,835,30,23,1,10
3,65268,733,26,20,0,10
3,65232,751,27,31,0,10
3,65221,779,28,30,0,10
3,65210,807,29,19,0,10
3,65268,733,26,18,65534,10
3,65257,761,27,28,65534,10
3,65247,789,28,27,65534,10
3,65210,807,29,17,65534,10
3,65243,724,26,39,65535,10
3,65232,751,27,58,65535,10
3,65221,779,28,56,65535,10
3,65182,795,29,36,65535,10
4,65268,733,26,20,0,10
4,65232,751,27,31,0,10
4,65221,779,28,30,0,10
4,65210,807,29,19,0,10
4,65268,733,26,18,65534,10
4,65257,761,27,28,65534,10
4,65247,789,28,27,65534,10
4,65210,807,29,17,65534,10
4,65243,724,26,39,65535,10
4,65232,751,27,58,65535,10
4,65221,779,28,56,65535,10
4,65182,795,29,36,65535,10
5,56,598,20,33,1,10
5,38,599,20,22,2,10
5,65268,733,26,19,65533,10
5,65257,761,27,23,65533,10
5,65247,789,28,18,65533,10
5,65301,713,25,24,65534,10
5,65292,741,26,42,65534,10
5,65257,761,27,49,65534,10
5,65247,789,28,39,65534,10
5,65268,733,26,31,65535,10
5,65232,751,27,34,65535,10
6,75,596,20,22,0,10
6,59,628,21,40,0,10
6,62,657,22,43,0,10
6,65493,689,23,40,0,10
6,65446,715,24,47,0,10
6,65442,745,25,37,0,10
6,56,598,20,43,1,10
6,59,628,21,78,1,10
6,62,657,22,80,1,10
6,86,685,23,47,1,10
6,56,598,20,29,2,10
6,59,628,21,54,2,10
6,62,657,22,56,2,10
6,65,687,23,33,2,10
6,1454,372,50,32,2,10
6,65268,8581,286,17,4,10
6,65493,689,23,33,65534,10
6,65468,717,24,45,65534,10
6,65466,747,25,41,65534,10
6,65438,774,26,31,65534,10
6,65409,801,27,21,65534,10
6,65474,657,22,34,65535,10
6,65450,685,23,73,65535,10
6,65446,715,24,95,65535,10
6,65442,745,25,77,65535,10
6,65414,771,26,45,65535,10
6,0,1501,50,23,2,10
7,75,596,20,22,0,10
7,59,628,21,40,0,10
7,62,657,22,43,0,10
7,65493,689,23,40,0,10
7,65446,715,24,47,0,10
7,65442,745,25,37,0,10
7,56,598,20,43,1,10
7,59,628,21,78,1,10
7,62,657,22,80,1,10
7,86,685,23,47,1,10
7,56,598,20,29,2,10
7,59,628,21,54,2,10
7,62,657,22,56,2,10
7,65,687,23,33,2,10
7,1454,372,50,32,2,10
7,65268,8581,286,17,4,10
7,65493,689,23,33,65534,10
7,65468,717,24,45,65534,10
7,65466,747,25,41,65534,10
7,65438,774,26,31,65534,10
7,65409,801,27,21,65534,10
7,65474,657,22,34,65535,10
7,65450,685,23,73,65535,10
7,65446,715,24,95,65535,10
7,65442,745,25,77,65535,10
7,65414,771,26,45,65535,10
7,0,1501,50,23,2,10
8,118,619,21,25,0,10
8,124,649,22,61,0,10
8,129,678,23,82,0,10
8,135,708,24,65,0,10
8,141,737,25,28,0,10
8,118,619,21,49,1,10
8,124,649,22,117,1,10
8,108,682,23,156,1,10
8,113,712,24,122,1,10
8,141,737,25,51,1,10
8,98,623,21,33,2,10
8,103,652,22,79,2,10
8,108,682,23,103,2,10
8,113,712,24,77,2,10
8,141,737,25,31,2,10
8,567,4497,151,30,4,10
8,129,678,23,12,65535,10
9,118,619,21,25,0,10
9,124,649,22,61,0,10
9,129,678,23,82,0,10
9,135,708,24,65,0,10
9,141,737,25,28,0,10
9,118,619,21,49,1,10
9,124,649,22,117,1,10
9,108,682,23,156,1,10
9,113,712,24,122,1,10
9,141,737,25,51,1,10
9,98,623,21,33,2,10
9,103,652,22,79,2,10
9,108,682,23,103,2,10
9,113,712,24,77,2,10
9,141,737,25,31,2,10
9,567,4497,151,30,4,10
9,129,678,23,12,65535,10
10,173,668,23,18,0,10
10,203,691,24,29,0,10
10,235,713,25,36,0,10
10,268,733,26,33,0,10
10,279,761,27,19,0,10
10,151,674,23,49,1,10
10,180,698,24,70,1,10
10,211,720,25,79,1,10
10,244,741,26,68,1,10
10,253,770,27,41,1,10
10,203,691,24,32,2,10
10,235,713,25,49,2,10
10,244,741,26,52,2,10
10,279,761,27,39,2,10
10,258,705,25,18,3,10
10,268,733,26,22,3,10
10,279,761,27,18,3,10
10,315,779,28,11,3,10
10,151,674,23,17,65535,10
10,158,703,24,19,65535,10
10,141,737,25,11,65535,10
11,173,668,23,18,0,10
11,203,691,24,29,0,10
11,235,713,25,36,0,10
11,268,733,26,33,0,10
11,279,761,27,19,0,10
11,151,674,23,49,1,10
11,180,698,24,70,1,10
11,211,720,25,79,1,10
11,244,741,26,68,1,10
11,253,770,27,41,1,10
11,203,691,24,32,2,10
11,235,713,25,49,2,10
11,244,741,26,52,2,10
11,279,761,27,39,2,10
11,258,705,25,18,3,10
11,268,733,26,22,3,10
11,279,761,27,18,3,10
11,315,779,28,11,3,10
11,151,674,23,17,65535,10
11,158,703,24,19,65535,10
11,141,737,25,11,65535,10
12,165,639,22,46,0,10
12,151,674,23,72,0,10
12,158,703,24,62,0,10
12,235,713,25,36,0,10
12,293,724,26,39,0,10
12,329,741,27,29,0,10
12,165,639,22,46,65534,10
12,173,668,23,72,65534,10
12,180,698,24,59,65534,10
12,305,686,25,64,65534,10
12,341,702,26,80,65534,10
12,355,729,27,61,65534,10
12,144,644,22,85,65535,10
12,151,674,23,133,65535,10
12,158,703,24,114,65535,10
12,258,705,25,76,65535,10
12,293,724,26,90,65535,10
12,329,741,27,67,65535,10
13,165,639,22,46,0,10
13,151,674,23,72,0,10
13,158,703,24,62,0,10
13,235,713,25,36,0,10
13,293,724,26,39,0,10
13,329,741,27,29,0,10
13,165,639,22,46,65534,10
13,173,668,23,72,65534,10
13,180,698,24,59,65534,10
13,305,686,25,64,65534,10
13,341,702,26,80,65534,10
13,355,729,27,61,65534,10
13,144,644,22,85,65535,10
13,151,674,23,133,65535,10
13,158,703,24,114,65535,10
13,258,705,25,76,65535,10
13,293,724,26,90,65535,10
13,329,741,27,67,65535,10
14,169,576,20,18,65531,10
14,177,605,21,50,65531,10
14,186,634,22,74,65531,10
14,173,668,23,59,65531,10
14,158,703,24,23,65531,10
14,169,576,20,44,65532,10
14,197,599,21,98,65532,10
14,206,627,22,130,65532,10
14,216,656,23,106,65532,10
14,203,691,24,51,65532,10
14,150,581,20,49,65533,10
14,158,610,21,85,65533,10
14,165,639,22,89,65533,10
14,194,663,23,58,65533,10
14,203,691,24,25,65533,10
14,150,581,20,21,65534,10
14,158,610,21,31,65534,10
14,165,639,22,25,65534,10
15,169,576,20,18,65531,10
15,177,605,21,50,65531,10
15,186,634,22,74,65531,10
15,173,668,23,59,65531,10
15,158,703,24,23,65531,10
15,169,576,20,44,65532,10
15,197,599,21,98,65532,10
15,206,627,22,130,65532,10
15,216,656,23,106,65532,10
15,203,691,24,51,65532,10
15,150,581,20,49,65533,10
15,158,610,21,85,65533,10
15,165,639,22,89,65533,10
15,194,663,23,58,65533,10
15,203,691,24,25,65533,10
15,150,581,20,21,65534,10
15,158,610,21,31,65534,10
15,165,639,22,25,65534,10
16,48,508,17,44,65530,10
16,51,538,18,60,65530,10
16,53,568,19,52,65530,10
16,56,598,20,30,65530,10
16,45,478,16,59,65531,10
16,48,508,17,107,65531,10
16,34,539,18,111,65531,10
16,36,569,19,70,65531,10
16,19,600,20,27,65531,10
16,60,477,16,59,65532,10
16,64,506,17,104,65532,10
16,68,536,18,106,65532,10
16,71,566,19,62,65532,10
16,45,478,16,21,65533,10
16,48,508,17,38,65533,10
16,51,538,18,40,65533,10
16,53,568,19,25,65533,10
17,48,508,17,44,65530,10
17,51,538,18,60,65530,10
17,53,568,19,52,65530,10
17,56,598,20,30,65530,10
17,45,478,16,59,65531,10
17,48,508,17,107,65531,10
17,34,539,18,111,65531,10
17,36,569,19,70,65531,10
17,19,600,20,27,65531,10
17,60,477,16,59,65532,10
17,64,506,17,104,65532,10
17,68,536,18,106,65532,10
17,71,566,19,62,65532,10
17,45,478,16,21,65533,10
17,48,508,17,38,65533,10
17,51,538,18,40,65533,10
17,53,568,19,25,65533,10
18,65395,428,15,19,0,10
18,65371,451,16,17,0,10
18,65409,432,15,17,65534,10
18,65405,399,14,23,65535,10
18,65381,423,15,41,65535,10
18,65371,451,16,36,65535,10
19,65221,278,14,11,0,10
19,65170,262,15,10,0,10
19,65256,271,13,17,1,10
19,65208,262,14,20,1,10
19,65170,262,15,18,1,10
19,65208,262,14,13,2,10
19,65170,262,15,12,2,10
19,65311,390,15,14,1,10
20,65221,278,14,11,0,10
20,65170,262,15,10,0,10
20,65256,271,13,17,1,10
20,65208,262,14,20,1,10
20,65170,262,15,18,1,10
20,65208,262,14,13,2,10
20,65170,262,15,12,2,10
20,65311,390,15,14,1,10
21,65221,278,14,11,0,10
21,65170,262,15,10,0,10
21,65256,271,13,17,1,10
21,65208,262,14,20,1,10
21,65170,262,15,18,1,10
21,65208,262,14,13,2,10
21,65170,262,15,12,2,10
21,65311,390,15,14,1,10
22,65226,327,15,8,0,10
22,65268,283,13,20,65533,10
22,65247,305,14,31,65533,10
22,65226,327,15,30,65533,10
22,65191,334,16,19,65533,10
22,65268,283,13,39,65534,10
22,65247,305,14,64,65534,10
22,65226,327,15,62,65534,10
22,65206,349,16,38,65534,10
22,65256,271,13,24,65535,10
22,65234,292,14,42,65535,10
22,65226,327,15,42,65535,10
22,65191,334,16,25,65535,10
23,65381,292,11,25,65532,10
23,65378,324,12,29,65532,10
23,65365,351,13,24,65532,10
23,65371,286,11,31,65533,10
23,65367,318,12,43,65533,10
