frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,65476,233,8,15,0,10
0,65477,264,9,18,0,10
0,65423,212,8,9,65533,10
0,65418,243,9,10,65533,10
0,65405,270,10,7,65533,10
0,65416,208,8,19,65534,10
0,65401,234,9,22,65534,10
0,65386,260,10,15,65534,10
0,65483,203,7,16,65535,10
0,65476,233,8,28,65535,10
0,65477,264,9,33,65535,10
0,65470,293,10,25,65535,10
0,65498,237,8,15,65534,10
0,65494,267,9,16,65534,10
0,65489,296,10,12,65534,10
1,941,1500,59,101,65535,10
1,957,1526,60,140,65535,10
1,973,1551,61,116,65535,10
2,941,1500,59,101,65535,10
2,957,1526,60,140,65535,10
2,973,1551,61,116,65535,10
3,79,413,14,43,4,10
3,84,442,15,89,4,10
3,105,469,16,102,4,10
3,112,498,17,68,4,10
3,118,527,18,25,4,10
4,79,413,14,43,4,10
4,84,442,15,89,4,10
4,105,469,16,102,4,10
4,112,498,17,68,4,10
4,118,527,18,25,4,10
5,32,509,17,20,2,10
5,34,539,18,24,2,10
5,36,569,19,17,2,10
5,138,615,21,18,4,10
5,124,649,22,33,4,10
5,129,678,23,36,4,10
5,135,708,24,26,4,10
5,118,619,21,26,5,10
5,124,649,22,49,5,10
5,129,678,23,58,5,10
5,135,708,24,46,5,10
5,117,741,25,25,5,10
5,118,619,21,12,6,10
5,124,649,22,24,6,10
5,129,678,23,30,6,10
5,113,712,24,25,6,10
5,117,741,25,15,6,10
6,32,509,17,20,2,10
6,34,539,18,24,2,10
6,36,569,19,17,2,10
6,138,615,21,18,4,10
6,124,649,22,33,4,10
6,129,678,23,36,4,10
6,135,708,24,26,4,10
6,118,619,21,26,5,10
6,124,649,22,49,5,10
6,129,678,23,58,5,10
6,135,708,24,46,5,10
6,117,741,25,25,5,10
6,118,619,21,12,6,10
6,124,649,22,24,6,10
6,129,678,23,30,6,10
6,113,712,24,25,6,10
6,117,741,25,15,6,10
7,23,750,25,18,0,10
7,24,780,26,24,0,10
7,0,810,27,21,0,10
7,23,750,25,38,1,10
7,0,780,26,52,1,10
7,0,810,27,45,1,10
7,0,750,25,31,2,10
7,0,780,26,42,2,10
7,0,810,27,36,2,10
7,65510,840,28,19,2,10
7,0,750,25,6,3,10
