frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,65378,390,14,15,0,10
0,65367,417,15,17,0,10
0,65236,375,16,14,0,10
0,65249,422,17,19,0,10
0,65232,447,18,13,0,10
0,65365,384,14,39,1,10
0,65353,411,15,44,1,10
0,65326,432,16,31,1,10
0,65249,422,17,36,1,10
0,65232,447,18,25,1,10
0,65365,384,14,15,2,10
0,65367,417,15,16,2,10
0,65236,375,16,15,2,10
0,65233,411,17,20,2,10
0,65365,384,14,14,65535,10
0,65353,411,15,17,65535,10
0,65341,439,16,11,65535,10
1,65378,390,14,15,0,10
1,65367,417,15,17,0,10
1,65236,375,16,14,0,10
1,65249,422,17,19,0,10
1,65232,447,18,13,0,10
1,65365,384,14,39,1,10
1,65353,411,15,44,1,10
1,65326,432,16,31,1,10
1,65249,422,17,36,1,10
1,65232,447,18,25,1,10
1,65365,384,14,15,2,10
1,65367,417,15,16,2,10
1,65236,375,16,15,2,10
1,65233,411,17,20,2,10
1,65365,384,14,14,65535,10
1,65353,411,15,17,65535,10
1,65341,439,16,11,65535,10
2,65401,461,16,23,1,10
2,65392,490,17,18,1,10
2,65409,432,15,37,2,10
2,65401,461,16,48,2,10
2,65377,485,17,39,2,10
2,65367,513,18,21,2,10
2,65395,428,15,26,3,10
2,65386,456,16,40,3,10
2,65361,479,17,42,3,10
2,65333,501,18,31,3,10
2,65304,521,19,17,3,10
2,65371,451,16,17,4,10
2,65345,473,17,25,4,10
2,65316,494,18,23,4,10
2,64761,1593,59,13,4,10
2,64748,1620,60,19,4,10
2,64735,1647,61,16,4,10
3,65504,509,17,24,0,10
3,65502,539,18,29,0,10
3,65500,569,19,20,0,10
3,65506,479,16,26,1,10
3,65504,509,17,54,1,10
3,65502,539,18,63,1,10
3,65500,569,19,44,1,10
3,65491,478,16,39,2,10
3,65488,508,17,86,2,10
3,65485,538,18,105,2,10
3,65483,568,19,76,2,10
3,65480,598,20,32,2,10
3,65476,477,16,23,3,10
3,65472,506,17,52,3,10
3,65468,536,18,66,3,10
3,65465,566,19,49,3,10
3,65461,596,20,22,3,10
3,65386,581,20,20,4,10
3,65359,605,21,37,4,10
3,65350,634,22,42,4,10
3,65342,663,23,29,4,10
3,65367,576,20,22,5,10
3,65359,605,21,44,5,10
3,65350,634,22,52,5,10
3,65320,656,23,38,5,10
3,63397,8284,285,26,5,10
3,63390,8313,286,21,5,10
4,65504,509,17,24,0,10
4,65502,539,18,29,0,10
4,65500,569,19,20,0,10
4,65506,479,16,26,1,10
4,65504,509,17,54,1,10
4,65502,539,18,63,1,10
4,65500,569,19,44,1,10
4,65491,478,16,39,2,10
4,65488,508,17,86,2,10
4,65485,538,18,105,2,10
4,65483,568,19,76,2,10
4,65480,598,20,32,2,10
4,65476,477,16,23,3,10
4,65472,506,17,52,3,10
4,65468,536,18,66,3,10
4,65465,566,19,49,3,10
4,65461,596,20,22,3,10
4,65386,581,20,20,4,10
4,65359,605,21,37,4,10
4,65350,634,22,42,4,10
4,65342,663,23,29,4,10
4,65367,576,20,22,5,10
4,65359,605,21,44,5,10
4,65350,634,22,52,5,10
4,65320,656,23,38,5,10
4,63397,8284,285,26,5,10
4,63390,8313,286,21,5,10
5,18,570,19,25,1,10
5,65419,741,25,14,3,10
5,65414,771,26,12,3,10
6,18,570,19,25,1,10
6,65419,741,25,14,3,10
6,65414,771,26,12,3,10
