frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,65463,383,13,14,65535,10
0,65457,413,14,17,65535,10
0,65452,442,15,15,65535,10
1,65463,383,13,14,65535,10
1,65457,413,14,17,65535,10
1,65452,442,15,15,65535,10
2,None, None, None, None, None
3,65475,385,13,15,0,10
3,65470,415,14,25,0,10
3,65466,445,15,33,0,10
3,65461,474,16,27,0,10
3,65463,383,13,32,1,10
3,65470,415,14,52,1,10
3,65466,445,15,67,1,10
3,65461,474,16,54,1,10
3,65463,383,13,14,2,10
3,65470,415,14,25,2,10
3,65466,445,15,34,2,10
3,65446,472,16,28,2,10
4,65475,385,13,15,0,10
4,65470,415,14,25,0,10
4,65466,445,15,33,0,10
4,65461,474,16,27,0,10
4,65463,383,13,32,1,10
4,65470,415,14,52,1,10
4,65466,445,15,67,1,10
4,65461,474,16,54,1,10
4,65463,383,13,14,2,10
4,65470,415,14,25,2,10
4,65466,445,15,34,2,10
4,65446,472,16,28,2,10
5,13,420,14,12,0,10
5,12,390,13,19,65535,10
5,13,420,14,30,65535,10
5,0,450,15,27,65535,10
6,13,420,14,12,0,10
6,12,390,13,19,65535,10
6,13,420,14,30,65535,10
6,0,450,15,27,65535,10
7,68,354,12,9,65532,10
7,61,385,13,23,65532,10
7,66,415,14,32,65532,10
7,70,445,15,28,65532,10
7,75,474,16,16,65532,10
7,56,356,12,42,65533,10
7,49,387,13,74,65533,10
7,53,417,14,82,65533,10
7,56,447,15,59,65533,10
7,60,477,16,29,65533,10
7,56,356,12,44,65534,10
7,49,387,13,69,65534,10
7,53,417,14,67,65534,10
7,56,447,15,43,65534,10
8,68,354,12,9,65532,10
8,61,385,13,23,65532,10
8,66,415,14,32,65532,10
8,70,445,15,28,65532,10
8,75,474,16,16,65532,10
8,56,356,12,42,65533,10
8,49,387,13,74,65533,10
8,53,417,14,82,65533,10
8,56,447,15,59,65533,10
8,60,477,16,29,65533,10
8,56,356,12,44,65534,10
8,49,387,13,69,65534,10
8,53,417,14,67,65534,10
8,56,447,15,43,65534,10
9,42,267,9,24,65532,10
9,34,268,9,88,65533,10
9,47,296,10,74,65533,10
9,38,237,8,58,65534,10
9,42,267,9,79,65534,10
9,47,296,10,57,65534,10
9,34,359,12,25,65534,10
10,42,267,9,24,65532,10
10,34,268,9,88,65533,10
10,47,296,10,74,65533,10
10,38,237,8,58,65534,10
10,42,267,9,79,65534,10
10,47,296,10,57,65534,10
10,34,359,12,25,65534,10
11,65483,234,8,20,1,10
11,65477,264,9,21,1,10
11,65470,293,10,15,1,10
12,65405,270,10,39,3,10
12,65392,297,11,51,3,10
12,65378,324,12,48,3,10
12,65365,351,13,30,3,10
12,65405,270,10,37,4,10
12,65392,297,11,51,4,10
12,65378,324,12,49,4,10
12,65365,351,13,31,4,10
13,65405,270,10,39,3,10
13,65392,297,11,51,3,10
13,65378,324,12,48,3,10
13,65365,351,13,30,3,10
13,65405,270,10,37,4,10
13,65392,297,11,51,4,10
13,65378,324,12,49,4,10
13,65365,351,13,31,4,10
14,65463,383,13,37,2,10
14,65457,413,14,72,2,10
14,65452,442,15,78,2,10
14,65446,472,16,49,2,10
14,65451,381,13,53,3,10
14,65444,410,14,100,3,10
14,65452,442,15,107,3,10
14,65446,472,16,67,3,10
14,65424,498,17,23,3,10
14,65470,415,14,31,4,10
14,65466,445,15,36,4,10
14,65446,472,16,27,4,10
14,65281,407,16,21,4,10
15,65463,383,13,37,2,10
15,65457,413,14,72,2,10
15,65452,442,15,78,2,10
15,65446,472,16,49,2,10
15,65451,381,13,53,3,10
15,65444,410,14,100,3,10
15,65452,442,15,107,3,10
15,65446,472,16,67,3,10
15,65424,498,17,23,3,10
15,65470,415,14,31,4,10
15,65466,445,15,36,4,10
15,65446,472,16,27,4,10
15,65281,407,16,21,4,10
16,0,480,16,14,0,10
16,0,510,17,16,0,10
16,0,450,15,28,1,10
16,0,480,16,53,1,10
16,0,510,17,56,1,10
16,0,540,18,34,1,10
16,0,450,15,38,2,10
16,0,480,16,68,2,10
16,0,510,17,65,2,10
16,34,539,18,34,2,10
16,65411,557,19,32,2,10
16,0,480,16,25,3,10
16,65408,494,17,33,3,10
