frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,65463,777,26,11,0,10
0,65460,807,27,13,0,10
0,65463,777,26,10,1,10
0,65460,807,27,11,1,10
0,65489,749,25,16,65535,10
0,65463,777,26,30,65535,10
0,65460,807,27,34,65535,10
0,65457,837,28,22,65535,10
1,65463,777,26,11,0,10
1,65460,807,27,13,0,10
1,65463,777,26,10,1,10
1,65460,807,27,11,1,10
1,65489,749,25,16,65535,10
1,65463,777,26,30,65535,10
1,65460,807,27,34,65535,10
1,65457,837,28,22,65535,10
2,41,659,22,21,0,10
2,65442,745,25,22,0,10
2,65438,774,26,27,0,10
2,65468,717,24,22,65534,10
2,65466,747,25,51,65534,10
2,65463,777,26,62,65534,10
2,65460,807,27,43,65534,10
2,39,629,21,37,65535,10
2,41,659,22,42,65535,10
2,43,689,23,26,65535,10
2,65442,745,25,53,65535,10
2,65438,774,26,66,65535,10
3,41,659,22,21,0,10
3,65442,745,25,22,0,10
3,65438,774,26,27,0,10
3,65468,717,24,22,65534,10
3,65466,747,25,51,65534,10
3,65463,777,26,62,65534,10
3,65460,807,27,43,65534,10
3,39,629,21,37,65535,10
3,41,659,22,42,65535,10
3,43,689,23,26,65535,10
3,65442,745,25,53,65535,10
3,65438,774,26,66,65535,10
4,36,569,19,46,0,10
4,38,599,20,85,0,10
4,39,629,21,90,0,10
4,41,659,22,56,0,10
4,22,690,23,22,0,10
4,65225,9931,331,19,0,10
4,65225,9961,332,17,0,10
4,38,599,20,17,1,10
4,20,630,21,18,1,10
4,64615,14710,491,8,1,10
4,64613,14740,492,8,1,10
4,64617,14680,490,5,2,10
4,64615,14710,491,9,2,10
4,64613,14740,492,9,2,10
4,65515,660,22,31,65532,10
4,65493,689,23,52,65532,10
4,65491,719,24,51,65532,10
4,65489,749,25,29,65532,10
4,36,569,19,53,65533,10
4,38,599,20,103,65533,10
4,20,630,21,118,65533,10
4,0,660,22,97,65533,10
4,65493,689,23,78,65533,10
4,65468,717,24,63,65533,10
4,51,538,18,37,65534,10
4,36,569,19,145,65534,10
4,38,599,20,274,65534,10
4,39,629,21,295,65534,10
4,41,659,22,190,65534,10
4,22,690,23,76,65534,10
4,65225,9931,331,20,65534,10
4,0,9966,332,18,65534,10
4,34,539,18,35,65535,10
4,18,570,19,133,65535,10
4,19,600,20,248,65535,10
4,20,630,21,263,65535,10
4,21,660,22,163,65535,10
4,22,690,23,57,65535,10
4,64915,9917,331,35,65535,10
4,64913,9947,332,32,65535,10
5,36,569,19,46,0,10
5,38,599,20,85,0,10
5,39,629,21,90,0,10
5,41,659,22,56,0,10
5,22,690,23,22,0,10
5,65225,9931,331,19,0,10
5,65225,9961,332,17,0,10
5,38,599,20,17,1,10
5,20,630,21,18,1,10
5,64615,14710,491,8,1,10
5,64613,14740,492,8,1,10
5,64617,14680,490,5,2,10
5,64615,14710,491,9,2,10
5,64613,14740,492,9,2,10
5,65515,660,22,31,65532,10
5,65493,689,23,52,65532,10
5,65491,719,24,51,65532,10
5,65489,749,25,29,65532,10
5,36,569,19,53,65533,10
5,38,599,20,103,65533,10
5,20,630,21,118,65533,10
5,0,660,22,97,65533,10
5,65493,689,23,78,65533,10
5,65468,717,24,63,65533,10
5,51,538,18,37,65534,10
5,36,569,19,145,65534,10
5,38,599,20,274,65534,10
5,39,629,21,295,65534,10
5,41,659,22,190,65534,10
5,22,690,23,76,65534,10
5,65225,9931,331,20,65534,10
5,0,9966,332,18,65534,10
5,34,539,18,35,65535,10
5,18,570,19,133,65535,10
5,19,600,20,248,65535,10
5,20,630,21,263,65535,10
5,21,660,22,163,65535,10
5,22,690,23,57,65535,10
5,64915,9917,331,35,65535,10
5,64913,9947,332,32,65535,10
6,65073,14822,494,4,3,10
6,0,14799,493,4,4,10
6,65073,14822,494,4,4,10
6,30,960,32,14,65528,10
6,31,990,33,16,65528,10
6,32,1020,34,11,65528,10
6,0,510,17,27,65531,10
6,65519,540,18,61,65531,10
6,65518,570,19,85,65531,10
6,65498,599,20,77,65531,10
6,65497,629,21,44,65531,10
6,15,480,16,28,65532,10
6,16,510,17,87,65532,10
6,17,540,18,145,65532,10
6,18,570,19,147,65532,10
6,0,600,20,97,65532,10
6,65516,630,21,43,65532,10
6,0,480,16,37,65533,10
6,0,510,17,105,65533,10
6,0,540,18,161,65533,10
6,0,570,19,146,65533,10
6,0,600,20,80,65533,10
6,0,630,21,26,65533,10
6,0,510,17,37,65534,10
6,17,540,18,56,65534,10
6,18,570,19,49,65534,10
6,19,600,20,26,65534,10
7,24,389,13,23,65531,10
7,26,419,14,41,65531,10
7,28,449,15,43,65531,10
7,30,479,16,27,65531,10
7,24,389,13,37,65532,10
7,26,419,14,67,65532,10
7,28,449,15,72,65532,10
7,30,479,16,46,65532,10
7,13,420,14,38,65533,10
7,14,450,15,41,65533,10
7,15,480,16,27,65533,10
8,24,389,13,23,65531,10
8,26,419,14,41,65531,10
8,28,449,15,43,65531,10
8,30,479,16,27,65531,10
8,24,389,13,37,65532,10
8,26,419,14,67,65532,10
8,28,449,15,72,65532,10
8,30,479,16,46,65532,10
8,13,420,14,38,65533,10
8,14,450,15,41,65533,10
8,15,480,16,27,65533,10
9,None, None, None, None, None
10,None, None, None, None, None
11,62233,14734,503,4,2,10
11,62226,14763,504,5,2,10
11,49,387,13,16,65532,10
11,39,418,14,18,65532,10
11,53,234,8,109,65534,10
11,59,264,9,92,65534,10
11,45,236,8,98,65535,10
11,51,265,9,81,65535,10
