frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,152,519,18,8,65535,10
1,152,519,18,8,65535,10
2,None, None, None, None, None
3,None, None, None, None, None
4,60,477,16,20,0,10
4,64,506,17,29,0,10
4,68,536,18,24,0,10
4,75,474,16,23,65534,10
4,80,504,17,34,65534,10
4,84,534,18,29,65534,10
4,60,477,16,39,65535,10
4,64,506,17,56,65535,10
4,68,536,18,46,65535,10
4,107,560,19,20,65535,10
5,60,477,16,20,0,10
5,64,506,17,29,0,10
5,68,536,18,24,0,10
5,75,474,16,23,65534,10
5,80,504,17,34,65534,10
5,84,534,18,29,65534,10
5,60,477,16,39,65535,10
5,64,506,17,56,65535,10
5,68,536,18,46,65535,10
5,107,560,19,20,65535,10
6,65431,469,16,8,1,10
6,65424,498,17,8,1,10
6,65431,469,16,14,65535,10
6,65424,498,17,15,65535,10
7,65431,469,16,8,1,10
7,65424,498,17,8,1,10
7,65431,469,16,14,65535,10
7,65424,498,17,15,65535,10
8,65367,417,15,12,1,10
8,65356,445,16,20,1,10
8,65345,473,17,19,1,10
8,65333,501,18,9,1,10
8,65341,439,16,7,2,10
8,65329,466,17,7,2,10
9,65367,417,15,12,1,10
9,65356,445,16,20,1,10
9,65345,473,17,19,1,10
9,65333,501,18,9,1,10
9,65341,439,16,7,2,10
9,65329,466,17,7,2,10
10,65249,422,17,12,1,10
11,None, None, None, None, None
12,None, None, None, None, None
13,65249,422,17,7,65535,10
14,65249,422,17,7,65535,10
