frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,65348,234,10,24,0,10
0,65330,258,11,28,0,10
0,65300,272,12,20,0,10
0,65268,283,13,11,0,10
0,65358,242,10,30,65534,10
0,65330,258,11,36,65534,10
0,65300,272,12,28,65534,10
0,65268,283,13,17,65534,10
0,65348,234,10,46,65535,10
0,65319,249,11,54,65535,10
0,65300,272,12,41,65535,10
0,65268,283,13,23,65535,10
1,65348,234,10,24,0,10
1,65330,258,11,28,0,10
1,65300,272,12,20,0,10
1,65268,283,13,11,0,10
1,65358,242,10,30,65534,10
1,65330,258,11,36,65534,10
1,65300,272,12,28,65534,10
1,65268,283,13,17,65534,10
1,65348,234,10,46,65535,10
1,65319,249,11,54,65535,10
1,65300,272,12,41,65535,10
1,65268,283,13,23,65535,10
2,65348,234,10,24,0,10
2,65330,258,11,28,0,10
2,65300,272,12,20,0,10
2,65268,283,13,11,0,10
2,65358,242,10,30,65534,10
2,65330,258,11,36,65534,10
2,65300,272,12,28,65534,10
2,65268,283,13,17,65534,10
2,65348,234,10,46,65535,10
2,65319,249,11,54,65535,10
2,65300,272,12,41,65535,10
2,65268,283,13,23,65535,10
3,65453,226,8,18,0,10
3,65443,254,9,33,0,10
3,65433,282,10,34,0,10
3,65412,306,11,19,0,10
3,65221,2502,84,36,1,10
3,8005,12767,502,3,1,10
3,8460,12434,501,4,2,10
3,8005,12767,502,4,2,10
3,65198,1308,45,13,65532,10
3,65191,1337,46,20,65532,10
3,65183,1366,47,18,65532,10
3,65176,1395,48,10,65532,10
3,65392,229,9,24,65533,10
3,65367,248,10,38,65533,10
3,65350,273,11,37,65533,10
3,65322,290,12,23,65533,10
3,65401,234,9,60,65534,10
3,65377,254,10,91,65534,10
3,65361,280,11,84,65534,10
3,65333,298,12,47,65534,10
3,65292,305,13,17,65534,10
3,65453,226,8,35,65535,10
3,65435,250,9,64,65535,10
3,65377,254,10,76,65535,10
3,65350,273,11,65,65535,10
3,65322,290,12,33,65535,10
4,65453,226,8,18,0,10
4,65443,254,9,33,0,10
4,65433,282,10,34,0,10
4,65412,306,11,19,0,10
4,65221,2502,84,36,1,10
4,8005,12767,502,3,1,10
4,8460,12434,501,4,2,10
4,8005,12767,502,4,2,10
4,65198,1308,45,13,65532,10
4,65191,1337,46,20,65532,10
4,65183,1366,47,18,65532,10
4,65176,1395,48,10,65532,10
4,65392,229,9,24,65533,10
4,65367,248,10,38,65533,10
4,65350,273,11,37,65533,10
4,65322,290,12,23,65533,10
4,65401,234,9,60,65534,10
4,65377,254,10,91,65534,10
4,65361,280,11,84,65534,10
4,65333,298,12,47,65534,10
4,65292,305,13,17,65534,10
4,65453,226,8,35,65535,10
4,65435,250,9,64,65535,10
4,65377,254,10,76,65535,10
4,65350,273,11,65,65535,10
4,65322,290,12,33,65535,10
5,65489,296,10,28,0,10
5,65484,326,11,40,0,10
5,65480,356,12,34,0,10
5,2350,14854,501,3,1,10
5,65489,296,10,23,65534,10
5,65484,326,11,34,65534,10
5,65480,356,12,29,65534,10
5,65475,385,13,14,65534,10
5,65480,295,10,59,65535,10
5,65474,324,11,86,65535,10
5,65468,354,12,74,65535,10
5,65463,383,13,37,65535,10
6,122,274,10,71,0,10
6,134,302,11,91,0,10
6,146,329,12,77,0,10
6,159,357,13,42,0,10
6,110,247,9,80,1,10
6,122,274,10,152,1,10
6,134,302,11,192,1,10
6,135,334,12,161,1,10
6,146,362,13,89,1,10
6,234,2481,83,82,1,10
6,158,2517,84,98,1,10
6,113,278,10,106,2,10
6,124,306,11,144,2,10
6,135,334,12,125,2,10
6,146,362,13,70,2,10
6,59908,13914,500,5,65534,10
6,59896,13942,501,7,65534,10
6,59885,13970,502,5,65534,10
6,47,296,10,10,65535,10
6,52,326,11,15,65535,10
6,56,356,12,13,65535,10
6,59439,13715,500,7,65535,10
6,59426,13742,501,9,65535,10
6,59414,13770,502,8,65535,10
6,144,297,11,11,65535,10
6,146,329,12,12,65535,10
7,122,274,10,71,0,10
7,134,302,11,91,0,10
7,146,329,12,77,0,10
7,159,357,13,42,0,10
7,110,247,9,80,1,10
7,122,274,10,152,1,10
7,134,302,11,192,1,10
7,135,334,12,161,1,10
7,146,362,13,89,1,10
7,234,2481,83,82,1,10
7,158,2517,84,98,1,10
7,113,278,10,106,2,10
7,124,306,11,144,2,10
7,135,334,12,125,2,10
7,146,362,13,70,2,10
7,59908,13914,500,5,65534,10
7,59896,13942,501,7,65534,10
7,59885,13970,502,5,65534,10
7,47,296,10,10,65535,10
7,52,326,11,15,65535,10
7,56,356,12,13,65535,10
7,59439,13715,500,7,65535,10
7,59426,13742,501,9,65535,10
7,59414,13770,502,8,65535,10
7,144,297,11,11,65535,10
7,146,329,12,12,65535,10
