frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,0,240,8,20,1,10
0,0,270,9,23,1,10
0,0,300,10,19,1,10
0,0,330,11,12,1,10
0,65529,210,7,67,2,10
0,65528,240,8,113,2,10
0,65528,270,9,117,2,10
0,65527,300,10,78,2,10
0,65526,330,11,34,2,10
0,65529,210,7,75,3,10
0,65528,240,8,124,3,10
0,65519,270,9,124,3,10
0,65517,300,10,79,3,10
0,65515,330,11,31,3,10
0,86,1378,46,24,4,10
0,132,1405,47,27,4,10
0,135,1435,48,20,4,10
0,65510,419,14,13,5,10
0,472,15092,503,6,65533,10
0,473,15122,504,6,65533,10
0,472,15092,503,6,65534,10
0,473,15122,504,5,65534,10
0,6619,13604,504,4,65533,10
1,0,240,8,20,1,10
1,0,270,9,23,1,10
1,0,300,10,19,1,10
1,0,330,11,12,1,10
1,65529,210,7,67,2,10
1,65528,240,8,113,2,10
1,65528,270,9,117,2,10
1,65527,300,10,78,2,10
1,65526,330,11,34,2,10
1,65529,210,7,75,3,10
1,65528,240,8,124,3,10
1,65519,270,9,124,3,10
1,65517,300,10,79,3,10
1,65515,330,11,31,3,10
1,86,1378,46,24,4,10
1,132,1405,47,27,4,10
1,135,1435,48,20,4,10
1,65510,419,14,13,5,10
1,472,15092,503,6,65533,10
1,473,15122,504,6,65533,10
1,472,15092,503,6,65534,10
1,473,15122,504,5,65534,10
1,6619,13604,504,4,65533,10
2,None, None, None, None, None
3,None, None, None, None, None
4,39,418,14,9,0,10
4,42,448,15,15,0,10
4,45,478,16,13,0,10
4,39,418,14,18,1,10
4,42,448,15,29,1,10
4,45,478,16,26,1,10
4,28,449,15,13,2,10
4,30,479,16,12,2,10
