frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,206,564,20,7,0,10
0,217,592,21,11,0,10
0,227,620,22,10,0,10
0,196,536,19,11,1,10
0,206,564,20,21,1,10
0,217,592,21,28,1,10
0,227,620,22,25,1,10
0,237,648,23,14,1,10
1,150,581,20,10,0,10
1,158,610,21,16,0,10
1,186,634,22,19,0,10
1,194,663,23,15,0,10
1,225,684,24,8,0,10
1,131,586,20,24,1,10
1,158,610,21,35,1,10
1,165,639,22,38,1,10
1,194,663,23,29,1,10
1,131,586,20,10,2,10
1,158,610,21,15,2,10
1,165,639,22,17,2,10
1,173,668,23,13,2,10
2,150,581,20,10,0,10
2,158,610,21,16,0,10
2,186,634,22,19,0,10
2,194,663,23,15,0,10
2,225,684,24,8,0,10
2,131,586,20,24,1,10
2,158,610,21,35,1,10
2,165,639,22,38,1,10
2,194,663,23,29,1,10
2,131,586,20,10,2,10
2,158,610,21,15,2,10
2,165,639,22,17,2,10
2,173,668,23,13,2,10
3,150,581,20,13,0,10
3,158,610,21,30,0,10
3,165,639,22,37,0,10
3,151,674,23,27,0,10
3,135,708,24,14,0,10
3,158,610,21,49,1,10
3,144,644,22,66,1,10
3,151,674,23,49,1,10
3,135,708,24,27,1,10
3,138,615,21,28,2,10
3,144,644,22,35,2,10
3,129,678,23,26,2,10
3,113,712,24,15,2,10
3,89,563,19,11,65535,10
3,94,593,20,13,65535,10
4,150,581,20,13,0,10
4,158,610,21,30,0,10
4,165,639,22,37,0,10
4,151,674,23,27,0,10
4,135,708,24,14,0,10
4,158,610,21,49,1,10
4,144,644,22,66,1,10
4,151,674,23,49,1,10
4,135,708,24,27,1,10
4,138,615,21,28,2,10
4,144,644,22,35,2,10
4,129,678,23,26,2,10
4,113,712,24,15,2,10
4,89,563,19,11,65535,10
4,94,593,20,13,65535,10
5,None, None, None, None, None
6,0,570,19,21,65535,10
6,0,600,20,19,65535,10
7,0,570,19,21,65535,10
7,0,600,20,19,65535,10
8,0,570,19,21,65535,10
8,0,600,20,19,65535,10
9,65330,627,22,22,0,10
9,65320,656,23,31,0,10
9,65288,677,24,25,0,10
9,65330,627,22,28,65534,10
9,65320,656,23,38,65534,10
9,65311,684,24,31,65534,10
9,65319,592,21,19,65535,10
9,65309,620,22,44,65535,10
9,65299,648,23,59,65535,10
9,65288,677,24,48,65535,10
10,65504,509,17,21,0,10
10,65502,539,18,38,0,10
10,65500,569,19,37,0,10
10,65498,599,20,21,0,10
10,65358,542,19,26,65533,10
10,65348,570,20,60,65533,10
10,65319,592,21,78,65533,10
10,65309,620,22,62,65533,10
10,65299,648,23,31,65533,10
10,65502,539,18,33,65534,10
10,65393,552,19,47,65534,10
10,65348,570,20,112,65534,10
10,65339,599,21,149,65534,10
10,65330,627,22,117,65534,10
10,65299,648,23,57,65534,10
10,65504,509,17,46,65535,10
10,65502,539,18,79,65535,10
10,65483,568,19,78,65535,10
10,65348,570,20,67,65535,10
10,65319,592,21,89,65535,10
10,65309,620,22,70,65535,10
11,65504,509,17,21,0,10
11,65502,539,18,38,0,10
11,65500,569,19,37,0,10
11,65498,599,20,21,0,10
11,65358,542,19,26,65533,10
11,65348,570,20,60,65533,10
11,65319,592,21,78,65533,10
11,65309,620,22,62,65533,10
11,65299,648,23,31,65533,10
11,65502,539,18,33,65534,10
11,65393,552,19,47,65534,10
11,65348,570,20,112,65534,10
11,65339,599,21,149,65534,10
11,65330,627,22,117,65534,10
11,65299,648,23,57,65534,10
11,65504,509,17,46,65535,10
11,65502,539,18,79,65535,10
11,65483,568,19,78,65535,10
11,65348,570,20,67,65535,10
11,65319,592,21,89,65535,10
11,65309,620,22,70,65535,10
12,65491,478,16,24,0,10
12,65504,509,17,51,0,10
12,65502,539,18,62,0,10
12,65500,569,19,44,0,10
12,65498,599,20,17,0,10
12,65316,494,18,21,65532,10
12,65304,521,19,34,65532,10
12,65292,549,20,38,65532,10
12,65260,567,21,33,65532,10
12,65247,594,22,20,65532,10
12,65300,486,18,55,65533,10
12,65286,513,19,83,65533,10
12,65273,540,20,85,65533,10
12,65260,567,21,62,65533,10
12,65226,583,22,33,65533,10
12,65520,510,17,44,65534,10
12,65519,540,18,51,65534,10
12,65304,521,19,62,65534,10
12,65292,549,20,60,65534,10
12,65260,567,21,39,65534,10
12,65491,478,16,45,65535,10
12,65488,508,17,96,65535,10
12,65485,538,18,114,65535,10
12,65500,569,19,79,65535,10
12,65316,494,18,46,65534,10
13,65494,448,15,29,0,10
13,65491,478,16,75,0,10
13,65488,508,17,106,0,10
13,65485,538,18,88,0,10
13,65483,568,19,43,0,10
13,1390,14764,494,5,1,10
13,1393,14794,495,7,1,10
13,1396,14823,496,5,1,10
13,65409,432,15,16,65533,10
13,65401,461,16,30,65533,10
13,65377,485,17,35,65533,10
13,65350,507,18,29,65533,10
13,65340,536,19,17,65533,10
13,65466,445,15,40,65534,10
13,65476,477,16,85,65534,10
13,65488,508,17,109,65534,10
13,65485,538,18,86,65534,10
13,65483,568,19,40,65534,10
13,65480,447,15,58,65535,10
13,65476,477,16,143,65535,10
13,65472,506,17,197,65535,10
13,65468,536,18,162,65535,10
13,65465,566,19,79,65535,10
14,65494,448,15,29,0,10
14,65491,478,16,75,0,10
14,65488,508,17,106,0,10
14,65485,538,18,88,0,10
14,65483,568,19,43,0,10
14,1390,14764,494,5,1,10
14,1393,14794,495,7,1,10
14,1396,14823,496,5,1,10
14,65409,432,15,16,65533,10
14,65401,461,16,30,65533,10
14,65377,485,17,35,65533,10
14,65350,507,18,29,65533,10
14,65340,536,19,17,65533,10
14,65466,445,15,40,65534,10
14,65476,477,16,85,65534,10
14,65488,508,17,109,65534,10
14,65485,538,18,86,65534,10
14,65483,568,19,40,65534,10
14,65480,447,15,58,65535,10
14,65476,477,16,143,65535,10
14,65472,506,17,197,65535,10
14,65468,536,18,162,65535,10
14,65465,566,19,79,65535,10
15,65508,449,15,14,0,10
15,65506,479,16,14,0,10
15,65522,450,15,13,65534,10
15,65521,480,16,13,65534,10
15,65510,419,14,20,65535,10
15,65508,449,15,34,65535,10
15,65506,479,16,35,65535,10
15,65488,508,17,23,65535,10
16,113,436,15,13,0,10
16,120,465,16,17,0,10
16,128,494,17,13,0,10
16,113,436,15,32,1,10
16,120,465,16,41,1,10
16,128,494,17,33,1,10
16,113,436,15,9,65535,10
16,120,465,16,13,65535,10
16,128,494,17,11,65535,10
17,113,436,15,13,0,10
17,120,465,16,17,0,10
17,128,494,17,13,0,10
17,113,436,15,32,1,10
17,120,465,16,41,1,10
17,128,494,17,33,1,10
17,113,436,15,9,65535,10
17,120,465,16,13,65535,10
17,128,494,17,11,65535,10
18,113,436,15,13,0,10
18,120,465,16,17,0,10
18,128,494,17,13,0,10
18,113,436,15,32,1,10
18,120,465,16,41,1,10
18,128,494,17,33,1,10
18,113,436,15,9,65535,10
18,120,465,16,13,65535,10
18,128,494,17,11,65535,10
19,195,439,16,11,0,10
19,207,466,17,10,0,10
19,169,417,15,10,1,10
19,180,445,16,17,1,10
19,191,473,17,17,1,10
19,203,501,18,11,1,10
19,169,417,15,22,65535,10
19,180,445,16,36,65535,10
19,191,473,17,36,65535,10
19,203,501,18,23,65535,10
20,171,384,14,12,0,10
20,183,411,15,19,0,10
20,195,439,16,18,0,10
20,239,381,15,18,65533,10
20,255,407,16,27,65533,10
20,271,432,17,25,65533,10
20,287,458,18,13,65533,10
20,253,372,15,25,65534,10
20,270,397,16,40,65534,10
20,287,422,17,39,65534,10
20,304,447,18,22,65534,10
20,158,390,14,22,65535,10
20,155,423,15,31,65535,10
20,150,456,16,25,65535,10
21,171,384,14,12,0,10
21,183,411,15,19,0,10
21,195,439,16,18,0,10
21,239,381,15,18,65533,10
21,255,407,16,27,65533,10
21,271,432,17,25,65533,10
21,287,458,18,13,65533,10
21,253,372,15,25,65534,10
21,270,397,16,40,65534,10
21,287,422,17,39,65534,10
21,304,447,18,22,65534,10
21,158,390,14,22,65535,10
21,155,423,15,31,65535,10
21,150,456,16,25,65535,10
22,171,384,14,12,0,10
22,183,411,15,19,0,10
22,195,439,16,18,0,10
22,239,381,15,18,65533,10
22,255,407,16,27,65533,10
22,271,432,17,25,65533,10
22,287,458,18,13,65533,10
22,253,372,15,25,65534,10
22,270,397,16,40,65534,10
22,287,422,17,39,65534,10
22,304,447,18,22,65534,10
22,158,390,14,22,65535,10
22,155,423,15,31,65535,10
22,150,456,16,25,65535,10
23,232,314,13,17,65532,10
23,250,338,14,20,65532,10
23,253,372,15,14,65532,10
23,169,318,12,17,65533,10
23,195,338,13,29,65533,10
23,210,364,14,35,65533,10
23,225,390,15,28,65533,10
23,169,318,12,23,65534,10
23,183,345,13,27,65534,10
23,210,364,14,23,65534,10
24,131,270,10,38,65533,10
24,144,297,11,43,65533,10
24,146,329,12,32,65533,10
24,131,270,10,40,65534,10
24,134,302,11,47,65534,10
24,146,329,12,36,65534,10
24,146,362,13,19,65534,10
24,113,278,10,11,65535,10
24,124,306,11,13,65535,10
25,131,270,10,38,65533,10
25,144,297,11,43,65533,10
25,146,329,12,32,65533,10
25,131,270,10,40,65534,10
25,134,302,11,47,65534,10
25,146,329,12,36,65534,10
25,146,362,13,19,65534,10
25,113,278,10,11,65535,10
25,124,306,11,13,65535,10
26,25,269,9,7,0,10
26,28,299,10,10,0,10
26,28,299,10,20,65535,10
27,None, None, None, None, None
28,None, None, None, None, None
29,65414,274,10,21,1,10
29,65402,302,11,18,1,10
29,65418,243,9,17,2,10
29,65405,270,10,25,2,10
29,65392,297,11,22,2,10
29,65378,324,12,11,2,10
29,65386,260,10,11,3,10
29,65381,292,11,9,3,10
30,65414,274,10,21,1,10
30,65402,302,11,18,1,10
30,65418,243,9,17,2,10
30,65405,270,10,25,2,10
30,65392,297,11,22,2,10
30,65378,324,12,11,2,10
30,65386,260,10,11,3,10
30,65381,292,11,9,3,10
31,65361,280,11,16,0,10
31,65356,312,12,22,0,10
31,65341,338,13,17,0,10
31,65326,364,14,8,0,10
31,65361,280,11,34,1,10
31,65345,305,12,45,1,10
31,65329,331,13,35,1,10
31,65313,356,14,16,1,10
31,65350,273,11,25,2,10
31,65333,298,12,33,2,10
31,65316,323,13,25,2,10
31,65313,356,14,11,2,10
32,65361,280,11,16,0,10
32,65356,312,12,22,0,10
32,65341,338,13,17,0,10
32,65326,364,14,8,0,10
32,65361,280,11,34,1,10
