frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,65234,621,23,8,65535,10
1,65311,557,20,16,65533,10
1,65280,576,21,23,65533,10
1,65247,594,22,25,65533,10
1,65234,621,23,17,65533,10
1,65358,542,19,20,65534,10
1,65330,564,20,35,65534,10
1,65280,576,21,47,65534,10
1,65268,603,22,48,65534,10
1,65234,621,23,34,65534,10
1,65311,557,20,25,65535,10
1,65260,567,21,32,65535,10
1,65247,594,22,30,65535,10
2,65311,557,20,16,65533,10
2,65280,576,21,23,65533,10
2,65247,594,22,25,65533,10
2,65234,621,23,17,65533,10
2,65358,542,19,20,65534,10
2,65330,564,20,35,65534,10
2,65280,576,21,47,65534,10
2,65268,603,22,48,65534,10
2,65234,621,23,34,65534,10
2,65311,557,20,25,65535,10
2,65260,567,21,32,65535,10
2,65247,594,22,30,65535,10
3,65488,508,17,8,65531,10
3,65316,494,18,17,65531,10
3,65322,529,19,34,65531,10
3,65311,557,20,33,65531,10
3,65300,584,21,18,65531,10
3,65431,469,16,25,65532,10
3,65408,494,17,34,65532,10
3,65418,527,18,26,65532,10
3,65510,419,14,25,65534,10
3,65508,449,15,57,65534,10
3,65506,479,16,69,65534,10
3,65504,509,17,49,65534,10
3,65497,418,14,25,65535,10
3,65494,448,15,58,65535,10
3,65491,478,16,72,65535,10
3,65488,508,17,51,65535,10
3,383,338,17,7,65531,10
4,65488,508,17,8,65531,10
4,65316,494,18,17,65531,10
4,65322,529,19,34,65531,10
4,65311,557,20,33,65531,10
4,65300,584,21,18,65531,10
4,65431,469,16,25,65532,10
4,65408,494,17,34,65532,10
4,65418,527,18,26,65532,10
4,65510,419,14,25,65534,10
4,65508,449,15,57,65534,10
4,65506,479,16,69,65534,10
4,65504,509,17,49,65534,10
4,65497,418,14,25,65535,10
4,65494,448,15,58,65535,10
4,65491,478,16,72,65535,10
4,65488,508,17,51,65535,10
4,383,338,17,7,65531,10
5,65484,326,11,24,65530,10
5,65480,356,12,50,65530,10
5,65475,385,13,62,65530,10
5,65470,415,14,46,65530,10
5,65466,445,15,21,65530,10
5,65491,357,12,81,65531,10
5,65487,387,13,99,65531,10
5,65470,415,14,74,65531,10
5,65466,445,15,34,65531,10
5,65525,360,12,59,65532,10
5,65512,389,13,65,65532,10
5,65510,419,14,46,65532,10
5,116,1857,62,46,65532,10
5,118,1887,63,45,65532,10
5,0,390,13,20,65533,10
6,110,247,9,41,0,10
6,122,274,10,59,0,10
6,134,302,11,50,0,10
6,146,329,12,25,0,10
6,59414,13770,502,5,1,10
6,131,270,10,58,65534,10
6,144,297,11,48,65534,10
6,110,247,9,80,65535,10
6,122,274,10,114,65535,10
6,134,302,11,97,65535,10
6,146,329,12,49,65535,10
7,110,247,9,41,0,10
7,122,274,10,59,0,10
7,134,302,11,50,0,10
7,146,329,12,25,0,10
7,59414,13770,502,5,1,10
7,131,270,10,58,65534,10
7,144,297,11,48,65534,10
7,110,247,9,80,65535,10
7,122,274,10,114,65535,10
7,134,302,11,97,65535,10
7,146,329,12,49,65535,10
8,245,114,9,8,0,10
8,245,114,9,16,1,10
8,160,217,9,12,1,10
9,245,114,9,8,0,10
9,245,114,9,16,1,10
9,160,217,9,12,1,10
10,None, None, None, None, None
11,216,209,10,26,0,10
11,237,230,11,25,0,10
11,216,209,10,50,1,10
11,237,230,11,47,1,10
12,216,209,10,26,0,10
12,237,230,11,25,0,10
12,216,209,10,50,1,10
12,237,230,11,47,1,10
13,216,209,10,26,0,10
13,237,230,11,25,0,10
13,216,209,10,50,1,10
13,237,230,11,47,1,10
14,225,281,12,50,2,10
14,244,305,13,49,2,10
14,276,317,14,29,2,10
14,225,281,12,71,3,10
14,244,305,13,70,3,10
14,276,317,14,42,3,10
14,225,281,12,33,4,10
14,244,305,13,33,4,10
14,263,328,14,19,4,10
15,211,398,15,19,3,10
15,225,424,16,28,3,10
15,239,451,17,24,3,10
15,211,398,15,34,4,10
15,225,424,16,59,4,10
15,239,451,17,57,4,10
15,253,477,18,31,4,10
15,671,1832,65,28,4,10
15,681,1860,66,30,4,10
15,158,390,14,18,5,10
15,183,411,15,27,5,10
15,225,424,16,45,5,10
15,239,451,17,45,5,10
15,253,477,18,25,5,10
16,211,398,15,19,3,10
16,225,424,16,28,3,10
16,239,451,17,24,3,10
16,211,398,15,34,4,10
16,225,424,16,59,4,10
16,239,451,17,57,4,10
16,253,477,18,31,4,10
16,671,1832,65,28,4,10
16,681,1860,66,30,4,10
16,158,390,14,18,5,10
16,183,411,15,27,5,10
16,225,424,16,45,5,10
16,239,451,17,45,5,10
16,253,477,18,25,5,10
17,159,485,17,39,2,10
17,169,513,18,73,2,10
17,178,542,19,79,2,10
17,188,570,20,50,2,10
17,144,490,17,39,3,10
17,169,513,18,81,3,10
17,196,536,19,103,3,10
17,206,564,20,86,3,10
17,217,592,21,46,3,10
17,186,507,18,39,4,10
17,196,536,19,67,4,10
17,206,564,20,70,4,10
17,236,584,21,48,4,10
17,268,603,22,23,4,10
17,196,536,19,11,5,10
17,225,557,20,17,5,10
17,236,584,21,21,5,10
17,268,603,22,17,5,10
18,178,542,19,21,0,10
18,188,570,20,35,0,10
18,197,599,21,34,0,10
18,206,627,22,18,0,10
18,160,547,19,45,1,10
18,169,576,20,77,1,10
18,177,605,21,73,1,10
18,186,634,22,40,1,10
18,160,547,19,37,2,10
18,169,576,20,61,2,10
18,177,605,21,57,2,10
18,186,634,22,34,2,10
18,206,627,22,21,3,10
18,216,656,23,25,3,10
18,248,677,24,25,3,10
18,258,705,25,24,3,10
18,186,634,22,9,4,10
18,216,656,23,11,4,10
18,248,677,24,13,4,10
18,258,705,25,14,4,10
19,178,542,19,21,0,10
19,188,570,20,35,0,10
19,197,599,21,34,0,10
19,206,627,22,18,0,10
19,160,547,19,45,1,10
19,169,576,20,77,1,10
19,177,605,21,73,1,10
19,186,634,22,40,1,10
19,160,547,19,37,2,10
19,169,576,20,61,2,10
19,177,605,21,57,2,10
19,186,634,22,34,2,10
19,206,627,22,21,3,10
19,216,656,23,25,3,10
19,248,677,24,25,3,10
19,258,705,25,24,3,10
19,186,634,22,9,4,10
19,216,656,23,11,4,10
19,248,677,24,13,4,10
19,258,705,25,14,4,10
20,216,656,23,17,0,10
20,248,677,24,25,0,10
20,258,705,25,25,0,10
20,216,656,23,37,1,10
20,225,684,24,57,1,10
20,235,713,25,56,1,10
20,216,656,23,30,2,10
20,225,684,24,49,2,10
20,235,713,25,48,2,10
21,235,713,25,13,1,10
21,244,741,26,15,1,10
21,279,761,27,15,1,10
22,235,713,25,13,1,10
22,244,741,26,15,1,10
22,279,761,27,15,1,10
23,177,605,21,24,0,10
23,186,634,22,20,0,10
23,158,610,21,45,65535,10
23,165,639,22,39,65535,10
24,177,605,21,24,0,10
24,186,634,22,20,0,10
24,158,610,21,45,65535,10
24,165,639,22,39,65535,10
25,237,648,23,18,65532,10
25,248,677,24,26,65532,10
25,281,696,25,27,65532,10
25,293,724,26,19,65532,10
25,216,656,23,20,65533,10
25,225,684,24,25,65533,10
25,160,547,19,26,65534,10
25,169,576,20,30,65534,10
25,150,581,20,29,65535,10
26,144,490,17,53,65531,10
26,152,519,18,91,65531,10
26,160,547,19,91,65531,10
26,169,576,20,54,65531,10
26,135,461,16,25,65532,10
26,144,490,17,70,65532,10
26,152,519,18,113,65532,10
26,160,547,19,111,65532,10
26,169,576,20,65,65532,10
26,120,465,16,45,65533,10
26,128,494,17,88,65533,10
26,135,523,18,102,65533,10
26,143,552,19,74,65533,10
26,150,581,20,33,65533,10
26,120,465,16,25,65534,10
26,128,494,17,47,65534,10
26,152,519,18,50,65534,10
26,160,547,19,30,65534,10
27,144,490,17,53,65531,10
27,152,519,18,91,65531,10
27,160,547,19,91,65531,10
27,169,576,20,54,65531,10
27,135,461,16,25,65532,10
27,144,490,17,70,65532,10
27,152,519,18,113,65532,10
27,160,547,19,111,65532,10
27,169,576,20,65,65532,10
27,120,465,16,45,65533,10
27,128,494,17,88,65533,10
