frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,65363,668,23,19,0,10
0,65333,691,24,20,0,10
0,65342,663,23,38,1,10
0,65333,691,24,41,1,10
0,65342,663,23,16,2,10
0,65333,691,24,17,2,10
1,65363,668,23,19,0,10
1,65333,691,24,20,0,10
1,65342,663,23,38,1,10
1,65333,691,24,41,1,10
1,65342,663,23,16,2,10
1,65333,691,24,17,2,10
2,None, None, None, None, None
3,65350,634,22,11,0,10
3,65320,656,23,15,0,10
3,65311,684,24,13,0,10
3,65278,705,25,9,0,10
3,65330,627,22,27,65535,10
3,65320,656,23,37,65535,10
3,65288,677,24,31,65535,10
4,65350,634,22,11,0,10
4,65320,656,23,15,0,10
4,65311,684,24,13,0,10
4,65278,705,25,9,0,10
4,65330,627,22,27,65535,10
4,65320,656,23,37,65535,10
4,65288,677,24,31,65535,10
5,65359,605,21,29,0,10
5,65350,634,22,45,0,10
5,65342,663,23,43,0,10
5,65311,684,24,29,0,10
5,65378,610,21,37,65534,10
5,65350,634,22,60,65534,10
5,65342,663,23,62,65534,10
5,65311,684,24,56,65534,10
5,65301,713,25,49,65534,10
5,65292,741,26,29,65534,10
5,65359,605,21,55,65535,10
5,65330,627,22,90,65535,10
5,65320,656,23,89,65535,10
5,65311,684,24,68,65535,10
5,65278,705,25,53,65535,10
6,65359,605,21,29,0,10
6,65350,634,22,45,0,10
6,65342,663,23,43,0,10
6,65311,684,24,29,0,10
6,65378,610,21,37,65534,10
6,65350,634,22,60,65534,10
6,65342,663,23,62,65534,10
6,65311,684,24,56,65534,10
6,65301,713,25,49,65534,10
6,65292,741,26,29,65534,10
6,65359,605,21,55,65535,10
6,65330,627,22,90,65535,10
6,65320,656,23,89,65535,10
6,65311,684,24,68,65535,10
6,65278,705,25,53,65535,10
7,51,538,18,24,0,10
7,53,568,19,54,0,10
7,56,598,20,67,0,10
7,39,629,21,50,0,10
7,0,660,22,25,0,10
7,51,538,18,46,1,10
7,53,568,19,99,1,10
7,56,598,20,118,1,10
7,59,628,21,81,1,10
7,53,568,19,60,2,10
7,56,598,20,71,2,10
7,59,628,21,49,2,10
7,65367,576,20,23,65534,10
7,65378,610,21,41,65534,10
7,65392,644,22,52,65534,10
7,65407,678,23,45,65534,10
7,65401,708,24,26,65534,10
