frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,158,324,12,41,0,10
0,171,351,13,44,0,10
0,184,378,14,28,0,10
0,146,329,12,80,1,10
0,159,357,13,86,1,10
0,171,384,14,55,1,10
0,146,329,12,56,2,10
0,159,357,13,59,2,10
0,171,384,14,38,2,10
1,158,324,12,41,0,10
1,171,351,13,44,0,10
1,184,378,14,28,0,10
1,146,329,12,80,1,10
1,159,357,13,86,1,10
1,171,384,14,55,1,10
1,146,329,12,56,2,10
1,159,357,13,59,2,10
1,171,384,14,38,2,10
2,118,403,14,19,2,10
2,141,428,15,31,2,10
2,150,456,16,29,2,10
2,175,479,17,16,2,10
2,197,405,15,44,3,10
2,195,439,16,53,3,10
2,207,466,17,37,3,10
2,171,384,14,23,4,10
2,183,411,15,49,4,10
2,195,439,16,59,4,10
2,207,466,17,43,4,10
2,236,486,18,21,4,10
2,155,423,15,14,5,10
2,210,432,16,27,5,10
2,239,451,17,30,5,10
2,253,477,18,21,5,10
3,118,403,14,19,2,10
3,141,428,15,31,2,10
3,150,456,16,29,2,10
3,175,479,17,16,2,10
3,197,405,15,44,3,10
3,195,439,16,53,3,10
3,207,466,17,37,3,10
3,171,384,14,23,4,10
3,183,411,15,49,4,10
3,195,439,16,59,4,10
3,207,466,17,43,4,10
3,236,486,18,21,4,10
3,155,423,15,14,5,10
3,210,432,16,27,5,10
3,239,451,17,30,5,10
3,253,477,18,21,5,10
4,105,469,16,35,1,10
4,112,498,17,67,1,10
4,118,527,18,72,1,10
4,107,560,19,43,1,10
4,90,472,16,52,2,10
4,96,501,17,102,2,10
4,101,531,18,111,2,10
4,107,560,19,69,2,10
4,113,590,20,22,2,10
4,90,472,16,25,3,10
4,96,501,17,51,3,10
4,118,527,18,58,3,10
4,143,552,19,45,3,10
4,169,576,20,29,3,10
4,1129,625,43,26,3,10
4,1156,639,44,43,3,10
4,1182,654,45,43,3,10
4,186,507,18,31,4,10
4,196,536,19,60,4,10
4,188,570,20,70,4,10
4,197,599,21,51,4,10
4,206,627,22,22,4,10
4,186,507,18,26,5,10
4,178,542,19,51,5,10
4,188,570,20,59,5,10
4,197,599,21,44,5,10
4,206,627,22,21,5,10
5,124,649,22,19,2,10
5,129,678,23,33,2,10
5,135,708,24,33,2,10
5,103,652,22,32,3,10
5,108,682,23,55,3,10
5,113,712,24,54,3,10
5,117,741,25,30,3,10
5,103,652,22,16,4,10
5,108,682,23,26,4,10
5,113,712,24,25,4,10
5,117,741,25,12,4,10
6,124,649,22,19,2,10
6,129,678,23,33,2,10
6,135,708,24,33,2,10
6,103,652,22,32,3,10
6,108,682,23,55,3,10
6,113,712,24,54,3,10
6,117,741,25,30,3,10
6,103,652,22,16,4,10
6,108,682,23,26,4,10
6,113,712,24,25,4,10
6,117,741,25,12,4,10
7,64005,0,51,11,3,10
7,65440,1528,51,8,3,10
8,65392,644,22,18,65532,10
8,65363,668,23,36,65532,10
8,65356,698,24,45,65532,10
8,65325,720,25,38,65532,10
8,65316,749,26,21,65532,10
8,65371,639,22,23,65533,10
8,65342,663,23,45,65533,10
8,65333,691,24,57,65533,10
8,65301,713,25,48,65533,10
9,65392,644,22,18,65532,10
9,65363,668,23,36,65532,10
9,65356,698,24,45,65532,10
9,65325,720,25,38,65532,10
9,65316,749,26,21,65532,10
9,65371,639,22,23,65533,10
9,65342,663,23,45,65533,10
9,65333,691,24,57,65533,10
9,65301,713,25,48,65533,10
10,65283,477,18,29,65530,10
10,65286,513,19,34,65530,10
10,65297,451,17,21,65531,10
10,65283,477,18,46,65531,10
10,65269,504,19,56,65531,10
10,65273,540,20,40,65531,10
10,65286,513,19,28,65532,10
10,65446,472,16,36,65533,10
10,65440,501,17,34,65533,10
10,65466,445,15,25,65534,10
10,65461,474,16,42,65534,10
10,65456,504,17,40,65534,10
10,65452,534,18,23,65534,10
11,65283,477,18,29,65530,10
11,65286,513,19,34,65530,10
11,65297,451,17,21,65531,10
11,65283,477,18,46,65531,10
11,65269,504,19,56,65531,10
11,65273,540,20,40,65531,10
11,65286,513,19,28,65532,10
11,65446,472,16,36,65533,10
11,65440,501,17,34,65533,10
11,65466,445,15,25,65534,10
11,65461,474,16,42,65534,10
11,65456,504,17,40,65534,10
11,65452,534,18,23,65534,10
12,65283,477,18,29,65530,10
12,65286,513,19,34,65530,10
12,65297,451,17,21,65531,10
12,65283,477,18,46,65531,10
12,65269,504,19,56,65531,10
12,65273,540,20,40,65531,10
12,65286,513,19,28,65532,10
12,65446,472,16,36,65533,10
12,65440,501,17,34,65533,10
12,65466,445,15,25,65534,10
12,65461,474,16,42,65534,10
12,65456,504,17,40,65534,10
12,65452,534,18,23,65534,10
13,64085,2314,91,44,1,10
13,7475,12946,498,6,4,10
13,7490,12972,499,6,4,10
13,65300,272,12,36,65530,10
13,65280,294,13,53,65530,10
13,65260,317,14,46,65530,10
13,65241,340,15,24,65530,10
13,65311,281,12,53,65531,10
13,65304,314,13,98,65531,10
13,65300,347,14,109,65531,10
13,65283,372,15,74,65531,10
13,65281,407,16,32,65531,10
