frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,110,374,13,15,1,10
0,118,403,14,30,1,10
0,141,428,15,35,1,10
0,150,456,16,26,1,10
0,110,374,13,9,65535,10
0,118,403,14,18,65535,10
0,127,432,15,21,65535,10
0,150,456,16,15,65535,10
1,110,374,13,15,1,10
1,118,403,14,30,1,10
1,141,428,15,35,1,10
1,150,456,16,26,1,10
1,110,374,13,9,65535,10
1,118,403,14,18,65535,10
1,127,432,15,21,65535,10
1,150,456,16,15,65535,10
2,144,395,14,12,0,10
2,155,423,15,16,0,10
2,165,451,16,12,0,10
2,122,371,13,16,1,10
2,131,399,14,37,1,10
2,141,428,15,47,1,10
2,165,451,16,36,1,10
2,175,479,17,17,1,10
2,131,399,14,15,65535,10
2,141,428,15,19,65535,10
2,150,456,16,14,65535,10
3,144,395,14,12,0,10
3,155,423,15,16,0,10
3,165,451,16,12,0,10
3,122,371,13,16,1,10
3,131,399,14,37,1,10
3,141,428,15,47,1,10
3,165,451,16,36,1,10
3,175,479,17,17,1,10
3,131,399,14,15,65535,10
3,141,428,15,19,65535,10
3,150,456,16,14,65535,10
4,131,399,14,7,0,10
4,141,428,15,11,0,10
4,150,456,16,11,0,10
4,118,403,14,12,1,10
4,127,432,15,16,1,10
4,150,456,16,14,1,10
4,131,399,14,24,65535,10
4,141,428,15,36,65535,10
4,150,456,16,33,65535,10
4,159,485,17,19,65535,10
5,131,399,14,7,0,10
5,141,428,15,11,0,10
5,150,456,16,11,0,10
5,118,403,14,12,1,10
5,127,432,15,16,1,10
5,150,456,16,14,1,10
5,131,399,14,24,65535,10
5,141,428,15,36,65535,10
5,150,456,16,33,65535,10
5,159,485,17,19,65535,10
6,116,3720,124,25,4,10
6,117,3750,125,25,4,10
6,158,324,12,16,65533,10
6,171,351,13,35,65533,10
6,171,384,14,44,65533,10
6,183,411,15,37,65533,10
6,195,439,16,20,65533,10
6,169,318,12,25,65534,10
6,183,345,13,52,65534,10
6,184,378,14,62,65534,10
6,197,405,15,44,65534,10
6,195,439,16,20,65534,10
6,159,357,13,27,65535,10
6,171,384,14,32,65535,10
6,183,411,15,23,65535,10
7,188,234,10,25,65531,10
7,196,266,11,22,65531,10
7,169,211,9,31,65532,10
7,188,234,10,58,65532,10
7,196,266,11,65,65532,10
7,214,290,12,43,65532,10
7,220,323,13,17,65532,10
7,169,248,10,48,65533,10
7,186,273,11,62,65533,10
7,203,298,12,47,65533,10
7,220,323,13,21,65533,10
7,186,273,11,28,65534,10
7,203,298,12,22,65534,10
8,188,234,10,25,65531,10
8,196,266,11,22,65531,10
8,169,211,9,31,65532,10
8,188,234,10,58,65532,10
8,196,266,11,65,65532,10
8,214,290,12,43,65532,10
8,220,323,13,17,65532,10
8,169,248,10,48,65533,10
8,186,273,11,62,65533,10
8,203,298,12,47,65533,10
8,220,323,13,21,65533,10
8,186,273,11,28,65534,10
8,203,298,12,22,65534,10
9,None, None, None, None, None
10,None, None, None, None, None
11,65490,205,7,18,2,10
11,65483,234,8,15,2,10
11,65470,135,5,15,3,10
11,65452,159,6,25,3,10
11,65438,186,7,24,3,10
11,65416,208,8,15,3,10
11,3287,2899,146,131,3,10
11,3447,2754,147,110,3,10
11,65470,135,5,10,4,10
11,65457,162,6,18,4,10
11,65438,186,7,18,4,10
11,65416,208,8,13,4,10
11,65401,234,9,7,4,10
12,65322,290,12,14,3,10
12,65348,234,10,34,4,10
12,65330,258,11,42,4,10
12,65311,281,12,33,4,10
12,65292,305,13,15,4,10
12,63804,1242,71,45,4,10
12,65348,234,10,24,5,10
12,65330,258,11,32,5,10
12,65311,281,12,25,5,10
12,65292,305,13,11,5,10
12,64670,1947,71,45,4,10
13,65322,290,12,14,3,10
13,65348,234,10,34,4,10
13,65330,258,11,42,4,10
13,65311,281,12,33,4,10
