frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,65523,420,14,9,0,10
0,65522,450,15,15,0,10
0,65506,479,16,14,0,10
0,65504,509,17,6,0,10
0,65523,420,14,27,1,10
0,65508,449,15,45,1,10
0,65506,479,16,41,1,10
0,65488,508,17,19,1,10
0,65523,420,14,11,65535,10
0,65508,449,15,18,65535,10
0,65506,479,16,16,65535,10
1,65508,449,15,19,0,10
1,65506,479,16,35,0,10
1,65504,509,17,38,0,10
1,65502,539,18,25,0,10
1,65494,448,15,37,1,10
1,65506,479,16,70,1,10
1,65504,509,17,77,1,10
1,65485,538,18,50,1,10
1,65494,448,15,17,2,10
1,65491,478,16,31,2,10
1,65488,508,17,34,2,10
1,65485,538,18,22,2,10
1,65506,479,16,7,65535,10
1,65504,509,17,9,65535,10
2,65508,449,15,19,0,10
2,65506,479,16,35,0,10
2,65504,509,17,38,0,10
2,65502,539,18,25,0,10
2,65494,448,15,37,1,10
2,65506,479,16,70,1,10
2,65504,509,17,77,1,10
2,65485,538,18,50,1,10
2,65494,448,15,17,2,10
2,65491,478,16,31,2,10
2,65488,508,17,34,2,10
2,65485,538,18,22,2,10
2,65506,479,16,7,65535,10
2,65504,509,17,9,65535,10
3,39,418,14,42,0,10
3,42,448,15,84,0,10
3,45,478,16,95,0,10
3,64,506,17,63,0,10
3,68,536,18,24,0,10
3,42,448,15,13,1,10
3,45,478,16,16,1,10
3,48,508,17,10,1,10
3,63679,14743,495,4,1,10
3,63675,14772,496,7,1,10
3,63671,14802,497,7,1,10
3,63675,14772,496,5,2,10
3,63671,14802,497,5,2,10
3,53,417,14,60,65534,10
3,56,447,15,118,65534,10
3,60,477,16,129,65534,10
3,80,504,17,83,65534,10
3,84,534,18,33,65534,10
3,39,418,14,84,65535,10
3,42,448,15,167,65535,10
3,45,478,16,187,65535,10
3,48,508,17,122,65535,10
3,68,536,18,47,65535,10
4,39,418,14,42,0,10
4,42,448,15,84,0,10
4,45,478,16,95,0,10
4,64,506,17,63,0,10
4,68,536,18,24,0,10
4,42,448,15,13,1,10
4,45,478,16,16,1,10
4,48,508,17,10,1,10
4,63679,14743,495,4,1,10
4,63675,14772,496,7,1,10
4,63671,14802,497,7,1,10
4,63675,14772,496,5,2,10
4,63671,14802,497,5,2,10
4,53,417,14,60,65534,10
4,56,447,15,118,65534,10
4,60,477,16,129,65534,10
4,80,504,17,83,65534,10
4,84,534,18,33,65534,10
4,39,418,14,84,65535,10
4,42,448,15,167,65535,10
4,45,478,16,187,65535,10
4,48,508,17,122,65535,10
4,68,536,18,47,65535,10
5,68,354,12,37,65532,10
5,85,381,13,46,65532,10
5,92,410,14,23,65532,10
5,42,448,15,12,65532,10
5,90,472,16,21,65532,10
5,68,354,12,61,65533,10
5,73,383,13,82,65533,10
5,79,413,14,59,65533,10
5,28,449,15,30,65533,10
5,45,478,16,22,65533,10
5,68,354,12,30,65534,10
5,85,381,13,41,65534,10
5,92,410,14,34,65534,10
5,28,449,15,24,65534,10
5,155,423,15,9,65532,10
6,68,354,12,37,65532,10
6,85,381,13,46,65532,10
6,92,410,14,23,65532,10
6,42,448,15,12,65532,10
6,90,472,16,21,65532,10
6,68,354,12,61,65533,10
6,73,383,13,82,65533,10
6,79,413,14,59,65533,10
6,28,449,15,30,65533,10
6,45,478,16,22,65533,10
6,68,354,12,30,65534,10
6,85,381,13,41,65534,10
6,92,410,14,34,65534,10
6,28,449,15,24,65534,10
6,155,423,15,9,65532,10
7,65475,385,13,23,1,10
7,65470,415,14,23,1,10
7,65466,445,15,15,1,10
7,65468,354,12,47,2,10
7,65463,383,13,63,2,10
7,65457,413,14,57,2,10
7,65452,442,15,36,2,10
7,65474,324,11,20,3,10
7,65468,354,12,38,3,10
7,65451,381,13,46,3,10
7,65444,410,14,39,3,10
7,65438,439,15,23,3,10
8,65483,417,14,15,2,10
8,65480,447,15,47,2,10
8,65476,477,16,76,2,10
8,65472,506,17,71,2,10
8,65468,536,18,38,2,10
