frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,65510,840,28,12,0,10
0,65509,870,29,21,0,10
0,65508,900,30,22,0,10
0,65478,929,31,15,0,10
0,65509,870,29,18,65534,10
0,65508,900,30,19,65534,10
0,65483,839,28,24,65535,10
0,65482,869,29,43,65535,10
0,65480,899,30,46,65535,10
1,65510,840,28,12,0,10
1,65509,870,29,21,0,10
1,65508,900,30,22,0,10
1,65478,929,31,15,0,10
1,65509,870,29,18,65534,10
1,65508,900,30,19,65534,10
1,65483,839,28,24,65535,10
1,65482,869,29,43,65535,10
1,65480,899,30,46,65535,10
2,65510,840,28,12,0,10
2,65509,870,29,21,0,10
2,65508,900,30,22,0,10
2,65478,929,31,15,0,10
2,65509,870,29,18,65534,10
2,65508,900,30,19,65534,10
2,65483,839,28,24,65535,10
2,65482,869,29,43,65535,10
2,65480,899,30,46,65535,10
3,65512,780,26,9,65532,10
3,65511,810,27,21,65532,10
3,65510,840,28,25,65532,10
3,65509,870,29,18,65532,10
3,65487,779,26,24,65533,10
3,65485,809,27,52,65533,10
3,65483,839,28,63,65533,10
3,65482,869,29,45,65533,10
3,129,678,23,35,65534,10
3,135,708,24,36,65534,10
3,141,737,25,22,65534,10
3,65511,810,27,34,65534,10
3,65483,839,28,43,65534,10
3,108,682,23,35,65535,10
3,113,712,24,36,65535,10
3,117,741,25,20,65535,10
4,0,660,22,12,65530,10
4,0,690,23,24,65530,10
4,0,720,24,29,65530,10
4,65513,750,25,21,65530,10
4,65512,780,26,10,65530,10
4,65515,660,22,20,65531,10
4,65514,690,23,40,65531,10
4,65491,719,24,47,65531,10
4,65489,749,25,34,65531,10
4,65487,779,26,16,65531,10
4,113,590,20,25,65532,10
4,118,619,21,42,65532,10
4,124,649,22,39,65532,10
4,0,690,23,21,65532,10
4,65513,720,24,23,65532,10
4,94,593,20,47,65533,10
4,98,623,21,79,65533,10
4,103,652,22,73,65533,10
4,108,682,23,38,65533,10
4,113,590,20,31,65534,10
4,118,619,21,52,65534,10
4,124,649,22,50,65534,10
4,129,678,23,29,65534,10
4,108,682,23,21,65532,10
5,64149,14734,493,4,4,10
5,64146,14764,494,7,4,10
5,64143,14794,495,6,4,10
5,63686,14683,493,6,5,10
5,63682,14713,494,9,5,10
5,63679,14743,495,8,5,10
5,0,480,16,29,65529,10
5,0,510,17,72,65529,10
5,0,540,18,101,65529,10
5,0,570,19,87,65529,10
5,65517,600,20,45,65529,10
5,30,479,16,50,65530,10
5,16,510,17,121,65530,10
5,17,540,18,167,65530,10
5,0,570,19,142,65530,10
5,0,600,20,72,65530,10
5,0,630,21,21,65530,10
5,42,448,15,34,65531,10
5,45,478,16,131,65531,10
5,48,508,17,255,65531,10
5,51,538,18,292,65531,10
5,53,568,19,202,65531,10
5,56,598,20,83,65531,10
5,56,447,15,27,65532,10
5,60,477,16,106,65532,10
5,64,506,17,206,65532,10
5,68,536,18,232,65532,10
5,71,566,19,157,65532,10
5,75,596,20,61,65532,10
5,48,508,17,36,65533,10
5,51,538,18,41,65533,10
5,53,568,19,26,65533,10
6,64149,14734,493,4,4,10
6,64146,14764,494,7,4,10
6,64143,14794,495,6,4,10
6,63686,14683,493,6,5,10
6,63682,14713,494,9,5,10
6,63679,14743,495,8,5,10
6,0,480,16,29,65529,10
6,0,510,17,72,65529,10
