frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,310,327,15,18,0,10
0,345,334,16,24,0,10
0,367,355,17,22,0,10
0,388,376,18,13,0,10
0,289,305,14,17,1,10
0,310,327,15,41,1,10
0,345,334,16,60,1,10
0,367,355,17,56,1,10
0,388,376,18,34,1,10
0,289,305,14,12,2,10
0,310,327,15,34,2,10
0,330,349,16,53,2,10
0,367,355,17,52,2,10
0,388,376,18,32,2,10
0,310,327,15,8,3,10
0,330,349,16,14,3,10
0,351,371,17,15,3,10
0,388,376,18,9,3,10
1,310,327,15,18,0,10
1,345,334,16,24,0,10
1,367,355,17,22,0,10
1,388,376,18,13,0,10
1,289,305,14,17,1,10
1,310,327,15,41,1,10
1,345,334,16,60,1,10
1,367,355,17,56,1,10
1,388,376,18,34,1,10
1,289,305,14,12,2,10
1,310,327,15,34,2,10
1,330,349,16,53,2,10
1,367,355,17,52,2,10
1,388,376,18,32,2,10
1,310,327,15,8,3,10
1,330,349,16,14,3,10
1,351,371,17,15,3,10
1,388,376,18,9,3,10
2,267,362,15,21,0,10
2,285,386,16,24,0,10
2,319,398,17,18,0,10
2,281,351,15,21,65534,10
2,300,375,16,24,65534,10
2,319,398,17,17,65534,10
2,250,338,14,20,65535,10
2,267,362,15,42,65535,10
2,285,386,16,49,65535,10
2,303,411,17,35,65535,10
3,183,345,13,34,0,10
3,197,371,14,67,0,10
3,211,398,15,74,0,10
3,225,424,16,49,0,10
3,239,451,17,20,0,10
3,65405,2097,70,52,0,10
3,184,378,14,10,1,10
3,211,398,15,13,1,10
3,225,424,16,9,1,10
3,58543,13178,497,6,1,10
3,58529,13205,498,6,1,10
3,195,338,13,43,65534,10
3,210,364,14,84,65534,10
3,225,390,15,94,65534,10
3,240,416,16,64,65534,10
3,255,442,17,27,65534,10
3,65470,2100,70,47,65534,10
3,171,351,13,66,65535,10
3,184,378,14,128,65535,10
3,197,405,15,141,65535,10
3,225,424,16,94,65535,10
3,239,451,17,39,65535,10
3,65405,2097,70,100,65535,10
4,183,345,13,34,0,10
4,197,371,14,67,0,10
4,211,398,15,74,0,10
4,225,424,16,49,0,10
4,239,451,17,20,0,10
4,65405,2097,70,52,0,10
4,184,378,14,10,1,10
4,211,398,15,13,1,10
4,225,424,16,9,1,10
4,58543,13178,497,6,1,10
4,58529,13205,498,6,1,10
4,195,338,13,43,65534,10
4,210,364,14,84,65534,10
4,225,390,15,94,65534,10
4,240,416,16,64,65534,10
4,255,442,17,27,65534,10
4,65470,2100,70,47,65534,10
4,171,351,13,66,65535,10
4,184,378,14,128,65535,10
4,197,405,15,141,65535,10
4,225,424,16,94,65535,10
4,239,451,17,39,65535,10
4,65405,2097,70,100,65535,10
5,183,345,13,34,0,10
5,197,371,14,67,0,10
5,211,398,15,74,0,10
5,225,424,16,49,0,10
5,239,451,17,20,0,10
5,65405,2097,70,52,0,10
5,184,378,14,10,1,10
5,211,398,15,13,1,10
5,225,424,16,9,1,10
5,58543,13178,497,6,1,10
5,58529,13205,498,6,1,10
5,195,338,13,43,65534,10
5,210,364,14,84,65534,10
5,225,390,15,94,65534,10
5,240,416,16,64,65534,10
5,255,442,17,27,65534,10
5,65470,2100,70,47,65534,10
5,171,351,13,66,65535,10
5,184,378,14,128,65535,10
5,197,405,15,141,65535,10
5,225,424,16,94,65535,10
5,239,451,17,39,65535,10
5,65405,2097,70,100,65535,10
6,146,362,13,16,0,10
6,158,390,14,21,0,10
6,155,423,15,18,0,10
6,165,451,16,12,0,10
6,439,1498,52,28,3,10
6,447,1527,53,35,3,10
6,171,351,13,23,65534,10
6,184,378,14,33,65534,10
6,197,405,15,32,65534,10
6,210,432,16,21,65534,10
6,146,362,13,33,65535,10
6,158,390,14,45,65535,10
6,169,417,15,43,65535,10
6,165,451,16,30,65535,10
7,146,362,13,16,0,10
7,158,390,14,21,0,10
7,155,423,15,18,0,10
7,165,451,16,12,0,10
7,439,1498,52,28,3,10
7,447,1527,53,35,3,10
7,171,351,13,23,65534,10
7,184,378,14,33,65534,10
7,197,405,15,32,65534,10
7,210,432,16,21,65534,10
7,146,362,13,33,65535,10
7,158,390,14,45,65535,10
7,169,417,15,43,65535,10
7,165,451,16,30,65535,10
8,23,360,12,13,0,10
8,24,389,13,33,0,10
8,13,420,14,46,0,10
8,14,450,15,38,0,10
8,15,480,16,19,0,10
8,11,360,12,26,1,10
8,12,390,13,68,1,10
8,13,420,14,94,1,10
8,14,450,15,76,1,10
8,15,480,16,36,1,10
8,11,360,12,11,2,10
8,12,390,13,30,2,10
8,13,420,14,41,2,10
8,14,450,15,33,2,10
8,15,480,16,16,2,10
8,0,420,14,15,65535,10
8,64602,14920,498,4,65535,10
9,65365,351,13,16,0,10
9,65339,371,14,16,0,10
9,65325,398,15,10,0,10
9,65378,324,12,25,1,10
9,65353,345,13,41,1,10
9,65339,371,14,43,1,10
9,65325,398,15,28,1,10
9,65339,371,14,14,65535,10
9,65325,398,15,9,65535,10
9,65497,418,14,11,65535,10
9,65494,448,15,9,65535,10
10,65365,351,13,16,0,10
10,65339,371,14,16,0,10
10,65325,398,15,10,0,10
10,65378,324,12,25,1,10
10,65353,345,13,41,1,10
10,65339,371,14,43,1,10
10,65325,398,15,28,1,10
10,65339,371,14,14,65535,10
10,65325,398,15,9,65535,10
10,65497,418,14,11,65535,10
10,65494,448,15,9,65535,10
11,65329,331,13,20,1,10
11,65313,356,14,24,1,10
11,65297,381,15,18,1,10
11,65281,407,16,9,1,10
11,65329,331,13,9,65535,10
11,65313,356,14,11,65535,10
11,65297,381,15,9,65535,10
12,65329,331,13,20,1,10
12,65313,356,14,24,1,10
12,65297,381,15,18,1,10
12,65281,407,16,9,1,10
12,65329,331,13,9,65535,10
12,65313,356,14,11,65535,10
12,65297,381,15,9,65535,10
