frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,65311,199,10,10,2,10
0,65299,230,11,10,2,10
0,65325,169,9,8,3,10
0,65301,187,10,9,3,10
0,65288,218,11,8,3,10
1,None, None, None, None, None
2,None, None, None, None, None
3,None, None, None, None, None
4,None, None, None, None, None
5,65431,216,8,47,0,10
5,65418,243,9,76,0,10
5,65405,270,10,78,0,10
5,65392,297,11,52,0,10
5,65378,324,12,22,0,10
5,7064,13311,502,3,0,10
5,6606,13577,503,4,0,10
5,6580,13523,501,4,1,10
5,6593,13550,502,7,1,10
5,6606,13577,503,7,1,10
5,6619,13604,504,4,1,10
5,65431,216,8,49,65534,10
5,65418,243,9,79,65534,10
5,65405,270,10,80,65534,10
5,65402,302,11,52,65534,10
5,65390,329,12,21,65534,10
5,65423,212,8,88,65535,10
5,65409,239,9,142,65535,10
5,65395,265,10,146,65535,10
5,65381,292,11,97,65535,10
5,65367,318,12,41,65535,10
6,65431,216,8,47,0,10
6,65418,243,9,76,0,10
6,65405,270,10,78,0,10
6,65392,297,11,52,0,10
6,65378,324,12,22,0,10
6,7064,13311,502,3,0,10
6,6606,13577,503,4,0,10
6,6580,13523,501,4,1,10
6,6593,13550,502,7,1,10
6,6606,13577,503,7,1,10
6,6619,13604,504,4,1,10
6,65431,216,8,49,65534,10
6,65418,243,9,79,65534,10
6,65405,270,10,80,65534,10
6,65402,302,11,52,65534,10
6,65390,329,12,21,65534,10
6,65423,212,8,88,65535,10
6,65409,239,9,142,65535,10
6,65395,265,10,146,65535,10
6,65381,292,11,97,65535,10
6,65367,318,12,41,65535,10
7,65498,298,10,15,65535,10
7,65484,326,11,17,65535,10
8,65498,298,10,15,65535,10
8,65484,326,11,17,65535,10
9,103,282,10,29,0,10
9,124,306,11,42,0,10
9,146,329,12,42,0,10
9,159,357,13,29,0,10
9,94,285,10,56,1,10
9,114,310,11,83,1,10
9,135,334,12,90,1,10
9,146,362,13,67,1,10
9,171,384,14,32,1,10
9,1182,2227,84,60,1,10
9,103,314,11,60,2,10
9,124,338,12,73,2,10
9,146,362,13,61,2,10
9,171,384,14,32,2,10
9,159,254,10,26,3,10
9,186,273,11,24,3,10
9,101,346,12,16,3,10
9,146,362,13,16,3,10
9,79,2520,84,55,1,10
9,225,281,12,14,3,10
10,180,312,12,16,0,10
10,268,283,13,18,0,10
10,276,317,14,17,0,10
10,169,318,12,32,1,10
10,256,294,13,39,1,10
10,276,317,14,39,1,10
10,295,340,15,24,1,10
10,259,250,12,22,2,10
10,256,294,13,33,2,10
10,276,317,14,32,2,10
10,281,351,15,20,2,10
10,281,225,12,12,0,10
10,270,238,12,27,1,10
10,169,318,12,19,2,10
11,180,312,12,16,0,10
11,268,283,13,18,0,10
11,276,317,14,17,0,10
11,169,318,12,32,1,10
11,256,294,13,39,1,10
11,276,317,14,39,1,10
11,295,340,15,24,1,10
11,259,250,12,22,2,10
11,256,294,13,33,2,10
11,276,317,14,32,2,10
11,281,351,15,20,2,10
11,281,225,12,12,0,10
11,270,238,12,27,1,10
11,169,318,12,19,2,10
12,203,298,12,14,1,10
12,220,323,13,21,1,10
12,250,338,14,20,1,10
12,295,340,15,14,1,10
13,203,298,12,14,1,10
13,220,323,13,21,1,10
13,250,338,14,20,1,10
13,295,340,15,14,1,10
