frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,65490,205,7,18,1,10
0,65468,262,9,15,1,10
0,65461,291,10,21,1,10
0,65453,320,11,15,1,10
0,65497,176,6,16,65535,10
0,65490,205,7,13,65535,10
0,65468,262,9,7,65535,10
0,65461,291,10,10,65535,10
0,65453,320,11,7,65535,10
0,65411,169,7,15,1,10
0,65429,145,6,13,65535,10
0,65411,169,7,11,65535,10
1,65490,205,7,18,1,10
1,65468,262,9,15,1,10
1,65461,291,10,21,1,10
1,65453,320,11,15,1,10
1,65497,176,6,16,65535,10
1,65490,205,7,13,65535,10
1,65468,262,9,7,65535,10
1,65461,291,10,10,65535,10
1,65453,320,11,7,65535,10
1,65411,169,7,15,1,10
1,65429,145,6,13,65535,10
1,65411,169,7,11,65535,10
2,65461,291,10,12,0,10
2,65453,320,11,9,0,10
2,65468,262,9,25,1,10
2,65461,291,10,30,1,10
2,65453,320,11,24,1,10
2,65461,291,10,9,65535,10
3,65461,291,10,12,0,10
3,65453,320,11,9,0,10
3,65468,262,9,25,1,10
3,65461,291,10,30,1,10
3,65453,320,11,24,1,10
3,65461,291,10,9,65535,10
4,28,178,6,55,0,10
4,33,208,7,59,0,10
4,38,237,8,40,0,10
4,23,179,6,125,1,10
4,26,208,7,137,1,10
4,30,238,8,93,1,10
4,41,328,11,35,3,10
4,41,328,11,20,4,10
4,45,357,12,15,4,10
4,62699,14861,504,5,65535,10
4,62694,14890,505,8,65535,10
4,62688,14920,506,7,65535,10
4,65392,153,7,42,0,10
4,65378,181,8,30,0,10
4,65443,317,11,16,4,10
4,65423,342,12,13,4,10
5,28,178,6,55,0,10
5,33,208,7,59,0,10
5,38,237,8,40,0,10
5,23,179,6,125,1,10
5,26,208,7,137,1,10
5,30,238,8,93,1,10
5,41,328,11,35,3,10
5,41,328,11,20,4,10
5,45,357,12,15,4,10
5,62699,14861,504,5,65535,10
5,62694,14890,505,8,65535,10
5,62688,14920,506,7,65535,10
5,65392,153,7,42,0,10
5,65378,181,8,30,0,10
5,65443,317,11,16,4,10
5,65423,342,12,13,4,10
6,65491,236,8,77,3,10
6,65485,265,9,123,3,10
6,65480,295,10,118,3,10
6,65474,324,11,68,3,10
6,65468,354,12,24,3,10
6,65483,234,8,90,4,10
6,65477,264,9,143,4,10
6,65470,293,10,136,4,10
6,65464,322,11,79,4,10
6,65457,351,12,27,4,10
6,65476,233,8,29,5,10
6,65477,264,9,47,5,10
6,65470,293,10,45,5,10
6,3296,14704,502,6,65532,10
6,3303,14734,503,7,65532,10
6,3310,14763,504,4,65532,10
6,2355,14884,502,5,65533,10
6,2831,14831,503,6,65533,10
7,65491,236,8,77,3,10
7,65485,265,9,123,3,10
7,65480,295,10,118,3,10
7,65474,324,11,68,3,10
7,65468,354,12,24,3,10
7,65483,234,8,90,4,10
7,65477,264,9,143,4,10
7,65470,293,10,136,4,10
7,65464,322,11,79,4,10
7,65457,351,12,27,4,10
7,65476,233,8,29,5,10
7,65477,264,9,47,5,10
7,65470,293,10,45,5,10
7,3296,14704,502,6,65532,10
7,3303,14734,503,7,65532,10
7,3310,14763,504,4,65532,10
7,2355,14884,502,5,65533,10
7,2831,14831,503,6,65533,10
8,53,1710,57,42,0,10
8,54,1740,58,62,0,10
8,55,1770,59,55,0,10
8,53,1710,57,91,1,10
8,54,1740,58,129,1,10
8,55,1770,59,114,1,10
8,0,360,12,88,2,10
8,12,390,13,110,2,10
8,13,420,14,81,2,10
8,14,450,15,35,2,10
8,54,1740,58,57,2,10
8,0,330,11,86,3,10
8,0,360,12,189,3,10
8,0,390,13,233,3,10
8,0,420,14,172,3,10
8,0,450,15,74,3,10
8,65526,330,11,63,4,10
8,65525,360,12,142,4,10
8,65524,390,13,185,4,10
8,65523,420,14,147,4,10
8,65508,449,15,74,4,10
8,65513,360,12,61,5,10
8,65512,389,13,93,5,10
8,65497,418,14,84,5,10
8,65494,448,15,44,5,10
8,934,14920,498,5,65532,10
8,936,14950,499,7,65532,10
8,469,15002,500,5,65532,10
8,65069,14942,498,6,65533,10
8,65068,14972,499,9,65533,10
8,0,15009,500,7,65533,10
9,53,1710,57,42,0,10
9,54,1740,58,62,0,10
9,55,1770,59,55,0,10
9,53,1710,57,91,1,10
9,54,1740,58,129,1,10
9,55,1770,59,114,1,10
9,0,360,12,88,2,10
9,12,390,13,110,2,10
9,13,420,14,81,2,10
9,14,450,15,35,2,10
9,54,1740,58,57,2,10
9,0,330,11,86,3,10
9,0,360,12,189,3,10
9,0,390,13,233,3,10
9,0,420,14,172,3,10
9,0,450,15,74,3,10
9,65526,330,11,63,4,10
9,65525,360,12,142,4,10
